Layer,Neuron,Original,Summary,Highlight,HighlightSummary,AVHS
5,1529,"the word ""The"" at the start of a sentence or statement.",the word 'The' at the start of sentences.,the use of the word 'The' typically at the beginning of new sentences or sequence of thoughts.,"the definite article ""The"".","occurrences of the definite article ""The""."
5,225," the term ""Below"" often used in phrases indicating a continuation of a story or advertisement."," the token ""Below"", which typically appears after a transitional phrase or advertisement in text.", phrases signaling the continuation of a story or advertisement in a text.,tokens indicating a continuation or further reading of a story or article.," the word ""Below"" which often appears in phrases indicating continuity of a story or an advertisement."
5,541,words ending in 'amy'.,words that end with the 'amy' sequence.,adjectives related to texture.," the partial word 'amy', regardless of the context.",the token 'amy' often found at the end of words.
6,1319,"the word ""closer"" and its context, particularly in relation to movement or proximity.",phrases indicating approach or the process of getting closer.,instances of the word 'closer' used to indicate proximity or movement towards something.,instances of the word 'closer' indicating movement or approach towards something.,"verbs, particularly ""closer"", that suggest movements towards something."
6,870,words related to visibility or observation.,words related to sight or vision.,words related to sight and visibility.,words related to seeing or sight.,words related to visibility or being visible.
6,658,the word 'host' or its variations in different contexts.,the usage of the word 'host' in different contexts.,the word 'host' used in various contexts.,the word 'host' in various contexts.,"the word ""host"" in various contexts."
6,1401,timestamps and related elements in text data.,technical terminology and timestamps.,"timestamps, script coding, and technical digital terms.","tokens related to technical programming, dates, timestamps and digital communication.","programming and technical language, particularly related to timestamps and script errors."
6,481,"uses of the word ""god"".","tokens related to religious or spiritual themes, specifically the term ""God""."," instances of the word ""god"".",mentions of the word 'god'.,mentions of a deity or God.
7,1451,tokens that are parts of personal names or abbreviations.,capitalized names and initials.,parts of proper nouns or acronyms.,parts of personal names or initials.,parts of names and abbreviations.
7,1725,words or parts of words containing 'agg' or 'comm'.,"parts of words that contain the sequence ""agg"".",parts of words that could be related to the word 'agitate' or variations of it.,the substring 'agg' and 'comm' in various contexts.,parts of words that have a 'gg' letter combination.
7,1340,references to occupations or specific tasks.,words or phrases related to professional work or jobs., the word 'job' in various professional and task-related contexts.,words related to professions and tasks.,words related to professions and tasks.
7,1212,the word 'root' and words related to it.,"the use of the term 'root', especially in the context of causes or origins.","the word 'root' in various contexts, mostly referring to an origin or base.","the word 'root', often in contexts relating to the fundamental cause.","the word 'root', typically in contexts related to identifying the fundamental cause or base element of a thing."
7,905,mentions of radio or media broadcast platforms.,mentions of radio broadcasting or royal entities.,references to radio broadcasts and royal or formal titles.,words associated with types of media and formal titles.,references to broadcasting and educational institutes.
8,385,words and terms related to mailing and correspondence.,references to mailing or communication systems., words and phrases related to mail and postal services.,words and phrases associated with mailing or written communication.,tokens related to mailing and communication services.
8,1574,"physical objects and spaces, and negative conditions or states.",words related to locations or places.,references to specific locations or places.,nouns related to physical locations or spaces.,references to physical locations and substances related to major health issues.
8,1639,"references to cookies, particularly in relation to website data and privacy policy.","phrases related to digital operations and online privacy policy, especially those associated with 'cookies'.","instructions and policy related to website navigation and use, particularly those involving file transfers and cookies.",words and phrases related to internet privacy and use of cookies.,"words and phrases related to data collection, storage, and privacy on websites."
8,1741,events or actions related to storage or containment in a certain context or state.,phrases associated with storing or saving data or information.,"phrases related to storing, saving, or returning information or items.","words and phrases related to storage and preservation, often in a technical or digital context.","words and phrases related to storing, saving, and retrieving data or items."
8,86,words and phrases related to evaluating value or worth.,words related to value and evaluation.,words related to value or assessment.,words related to value or evaluation.,"words related to value, worthiness, and achievement."
9,1781,"the use of the verb ""to be"" in various forms and contexts.","the phrase ""to be"" in various contexts.","instances of modal verb phrase ""to be"", often in contexts implying conjecture or belief.","the phrase ""to be"" indicating a state of being or condition.","phrases that express a belief or an assumption, particularly paired with ""to be""."
9,656,"references to periods or moments in time, especially those using the term ""day"".",references to modern times or the present day.,phrases referring to time or temporal context.,words and phrases that indicate time or temporal events.,"references to time periods, both specific and general."
9,529,words and phrases related to digital media and file management.,terms and phrases related to digital media content and its formatting., words and phrases related to media and technology functionalities.,"elements indicating media content, like pictures, infographics, slideshows, and unsupported media playback.",tokens related to digital media and file types.
9,1657,"the phrase ""moving forward"" or similar progress-oriented phrases.",words associated with progression or advancement.,"phrases indicating progress, growth or advancement.",phrases indicating forward movement and progress.,phrases related to progression or moving forward.
9,88,occurrences of the conjunction 'however' and 'therefore' as well as identifying instances of direct or indirect speech.,phrases introducing examples and further explanations.,conjunctions within transitional phrases or clauses.,transitional phrases and conjunctions used to introduce an additional point or contrast.,"transitional phrases and conjunctions, often surrounded by commas."
10,1838,"phrases where the subject is in a situation or position, often using ""in"" or ""find themselves/himself"".",phrases indicating someone or something being in a particular situation or place.,"occurrences of the phrase ""find themselves in"" or variations of it.","phrases indicating self-awareness or identification, especially when a person or entity is in a certain situation.",phrases related to individuals or entities finding themselves in a particular situation or place.
10,99,words and phrases indicating alternatives or contrasts.,words and phrases indicating an alternative or contrast.,words and phrases that indicate a contrast or alternative to a previously mentioned idea or scenario.,words indicating an alternative or contrast.,words and phrases indicating a contrast or an alternate option.
10,1900,nouns related to natural phenomena and human relations.,"words related to disruption or breakage whether in terms of weather (storms, cyclones), sports (bust), relationships (couple, pair) or age groups (olds).",words related to pairs or groupings.,"terms related to groups or pairs, whether that be weather phenomena or human relationships.",words related to disasters or negative situations.
10,1785,terms related to academic or scholarly publications., words related to written documents or publications.,"references to written documents, particularly scientific or legal papers.",references to academic or professional publications and organizations.,words related to academic or scholarly works and entities.
10,1329,"negation phrases, especially the phrase ""not so"".","phrases indicating contradiction or doubt, such as ""not so much"" and ""not so.""",contradictions or negative implications expressed with the phrase 'not so' and objects with slope measurements.,contradictory phrases or words implying negation.,"the phrase ""not so"" and focusing on negations, along with instances of 'ope' in different contexts."
11,703, words that denote body parts and personhood.,words related to parts of the human body.,nouns indicating possession or parts of a larger entity.,parts of compound words where the second part refers to a person or a group of people.,partial words that are parts of compound words or hyphenated words.
11,1319,"the word ""news"".",words related to news and current affairs.,"mentions of the word ""news"".",the term 'news'.,phrases connected to news reports or journalistic content.
11,456,words related to recognition or identification.,words related to recognizing or identifying something or someone.,verbs related to identification or recognition.,verbs related to recognition or identification.,words related to identification or recognition.
11,1437,parts of words or strings of characters that are within longer words.,parts of verbs that end in 'ing'.,parts of words that contain the letter 'r'.,parts of words that are inside quotation marks or specific technical terms.,tokens that are parts of words indicating action or process.
11,1520,"portions of words, particularly focused on the second half or ending.",partial words or fragments that are commonly found in names or titles., parts of compound nouns.,roots or stems of words.,words related to parts of the body.
12,349,expressions that convey a sense of disorder or complexity.,"words related to disorder, complications and challenges.","words and phrases that indicate disarray, complexity or problematic situations.","words and phrases related to disorder, confusion, or complexity.",words and phrases related to complexity and disarray.
12,1464,"instances of opinion and speculation, especially from experts or analysts.","words related to professions and roles that involve observation, analysis, or judgement.","terms that denote prediction or speculation, often made by experts or professionals.",terms referring to entities or people who provide expert advice or analysis.,words and phrases associated with opinions or judgments.
12,362,words and phrases related to copyright and legal documentation.,words and phrases related to copyright and records.,words associated with legal or official ownership and copyright claims.,"words related to legal affairs, copyrights and records.",words and phrases associated with copyright and legal documentation.
12,317,nouns preceded by descriptive adjectives.,words denoting certain characteristics or personal traits.,descriptive terms for personalities or character traits.,words that denote a strong characteristic or dedication.,"words associated with personal characteristics or descriptors, particularly in a professional or occupational context."
12,426,references to Russian and Ukrainian cities and origins.,mentions of specific locations or geographical names.," names of places, cities, countries and entities.",words related to geographical locations or entities.,"identifiers such as names of cities, places and labels."
13,1736,conditional phrases and alternatives presented in the text.,conjunctions and conditional words.,"usage of the conjunction 'or', often in lists or offering alternatives.",conjunctions and prepositions.,conjunctions and conditional words.
13,749,specific nouns and noun phrases.,tokens associated with different types of products or materials.,words related to objects or substances.,"terms related to compounds or substances, often in the context of products or items.","parts of compound words, especially in scientific or complex technical jargon."
13,269,words related to familial relationships and family situations.,tokens related to familial relations and biological connections.,terms and phrases that relate to family relations and pairings.,words related to biological relationships and species.,terms and phrases related to familial roles and relationships.
13,854,female names or words used to address women.,female names and pronouns related to them.,female names and the associated title or pronoun.,"names, titles, and related punctuation marks for personal references.",parts of names or titles related to characters or persons.
13,1306,spatial or directional terms.,directional terms.,words related to location and direction.,two letter word parts and common English prepositions.,directional words and phrases.
14,343,phrases related to participation or attendance in events.,words related to attending an event or being physically present in a certain situation.,phrases related to attendance or inclusion.,verbs related to being physically present at a place or event.,prepositional phrases indicating presence or participation at events.
14,33,"parts of personal names, approval or verification statuses, and states or conditions.",proper names and purchase-related terms.,names or personal identifiers.,tokens associated with names and purchase transactions.,specific names and attributes related to identity or property.
14,1936,names of people or entities.,"names, particularly surnames and user/screen names.",numerical values and measurements.,"names, particularly those that are part of or associated with data or information sets.",names of individuals and entities.
14,1438,instances of commitment being fulfilled or expected actions being specific or exact., words related to promises or instructions.,words related to expectations or instructions.,words related to obligations or expectations.,words related to promises or instructions.
14,52,words and phrases indicating trickery or deception.,words and phrases denoting uncertainty or deception.,words and phrases that denote deception or misleading situations.,words that indicate deception or confusion.,words related to deception or misleading information.
15,1903,verbs indicating recruitment or addition of members or elements to a group or a process.," tokens indicating actions involving transactions, decisions or commandements.",verbs related to hiring or recruitment.,verbs associated with formal recruitment or engagement actions.,verbs related to the hiring or employment process.
15,268,verbs related to the process or action of maintaining or modifying something.,verbs related to action or process.,verbs related to actions or processes.,verbs in the gerund form.,words related to actions or processes.
15,1184,references to specific time intervals or points in time.,"references to time, specifically minutes and hours."," references to time, specifically in the context of a sports match.",tokens related to measurements of time.,"time references, especially those related to minutes and hours."
15,248,programming codes or references to programming languages.,programming and coding related terms and expressions.," coding syntax and structure, especially variable assignments and usage.",tokens related to scripting or coding language syntax and structures.,"programming or coding language syntax, terminologies, and data structures."
15,676," abbreviations, especially those related to job titles or positions.",abbreviations or acronyms.,occupations or professional roles.,words related to professional titles and roles.,abbreviations or short references usually related to professional titles or roles.
16,1466,"measurements, especially depth and quantity.",words and phrases related to measurement and quantity.,words indicating measurements or quantity.,words indicating measurement or degrees of something.,words related to physical measurements and directions.
16,333,adjectives and descriptors related to vintage and/or antiques.,"tokens related to antique, rarity and intricate details.",descriptions of antiques or vintage items.,"adjectives describing detailed, vintage or antique objects.","words and phrases related to art, antiques, and sophisticated design."
16,1587,expressions that denote requirement or necessity.,words and phrases that express intention or purpose.,expressions signifying intent or purpose.,verbs and adverbs that express an intention or a proper way of doing something.,phrases related to the process of performing tasks correctly or fully.
16,497,nouns associated with positive attributes or personal characteristics.,nouns that describe characteristics or qualities.,singular nouns.,nouns related to personal attributes or measurements.,"words or phrases indicating various categories or factors related to human behavior, status, or personal characteristics."
16,1691,words associated with firearms and their handling or ownership.,words related to 'carry' and words containing 'ad'.,"names and instances of when something can be ""carried,"" physically or symbolically.","words related to carrying or handling something, especially in the context of firearms usage.",words related to carrying or hiding something.
17,266,words related to national entities and outdoor activities.,"words related to justice, rights, and law enforcement.",named entities.,"words related to justice, rights, and protective entities.","proper nouns and their abbreviations, and occasionally words associated with an action or specific entity."
17,1474,"attributes related to trading card games such as card rarity, expansion, and the artist's name.","specificities of card games, specifically rarity details.",terms and categories related to trading card games.,specific terms and punctuation associated with card game details or descriptions.,structures and terms typical for card game specifications.
17,612,words and phrases related to intentions and actions.,words related to motivation or intention.,"words related to intentions, aims, or purposeful actions.","words indicating aims, intentions or strategies.","words related to planning, intention, and future actions."
17,623,words indicating possession or ownership.,words indicating possession or ownership., possessive pronouns.,words and phrases indicating possession or ownership.,possessive pronouns and words expressing possession or ownership.
17,1166,words related to commodities or assets.,"specific common nouns, concentrating on materials and commodities.",different types of materials or substances.,words related to materials and substances., nouns relating to different types of commodities or valued substances.
18,450,references to place names and geographical locations.,parts of words belonging to location names and branded entities.,"brand names, media outlets, or location names.",brand names and locations.,"references to names of organizations, brands, and locations."
18,318,advice giving or cautionary statements.,"expressions of caution, patience, or slow pace.",words and phrases expressing caution or careful progress.,"expressions of caution, worry, or patience.",words and punctuation related to pauses and slowness in the context.
18,1275,"phrases expressing cause and or reasoning, often involving the word 'to'.",phrases that explain causes or reasons.,phrases stating or explaining a causal relationship or reason.,phrases which indicate attribution or reasons for certain scenarios.,phrases that discuss a cause or a reason.
18,521,"words related to positions, with a bias towards finding words related to the bottom or end of something.",words indicating spatial relations or positions.,words referring to directions or positions.,words indicating spatial direction or location.,words related to positions or directions i.e. words indicating top or bottom.
18,1267,"words related to crafting, specifically brewing and building.",words related to brewing and beer making.,"terms related to brewing, baking and related businesses.",words related to the brewing process and businesses.,words and phrases related to the craft of brewing and baking.
19,924,words and phrases related to rescue or emergency situations.,verbs related to actions taken during emergencies or difficult situations.,verbs describing actions leading to changes or responses to a situation.,verbs indicating a state of change or action.,words associated with actions or processes of change or intervention.
19,1010, phrases denoting actions that will not happen in the future or something that will never occur again.,"phrases or words associated with permanency, instances of actions or events not happening again, or lasting lessons.", phrases conveying permanence or finality.,expressions related to permanence or irreversible actions.,phrases alluding to finality or a never to be repeated action.
19,1672,indications of future events or actions.,"future plans, announcements, and actions that are yet to happen.",phrases indicating future events or actions.,"future actions, events or plans.",phrases that denote future actions or events.
19,623,actions related to technology use and digital interaction.,commands and terms related to online navigation and user interface.,words related to website or digital interfaces and actions.,interactive command words or phrases typically found in digital interfaces.,words and phrases related to user interfaces and online navigation.
19,1631,the use of colon punctuation in sentences.,colons used in explanations or definitions.,the colon punctuation mark used before explanation or elaboration.,colons used to introduce explanations or elaborations., the usage of colons in sentences.
20,193,expressions related to questioning or challenging a statement or belief.,verbs related to questioning or challenging authority or established concepts.,verbs of remonstration or criticism.,"verbs related to criticism or debate such as 'call out', 'denounce', 'ask'.",actions or phrases related to questioning or challenging an idea or person.
20,673,sentences related to legal situations and competitive activities.,"words associated with defending, denying, or making a guess in a competition or legal scenario.",verbs related to expressing doubt or making assumptions.,"verbs and phrases associated with denial, defense, remembering, guessing, and sports-related terms.",verbs related to argument or conflict.
20,559,words and phrases indicating cessation or the act of stopping something.,words relating to halt or termination of an action.,words that signify an action to cease or end something.,verbs related to cessation or ending of an action.,words related to protests or actions of stopping/discontinuing something.
20,1274,words and phrases related to bodies of water.,mentions of bodies of water.,tokens related to bodies of water and water in general.,words related to bodies of water and possession.,words and phrases related to bodies of water and their surroundings.
20,426,negative expressions and contractions representing negation.,negative statements or phrases containing the word 'not'.,negative contractions or expressions of negation.,negations and terms associated with refusal or denial.,negation words and phrases indicating absence or denial.
21,582,references to electronic devices and their aspects.,words and phrases related to technological devices and their components.,references to specific types of technology and electronic devices.,"tokens related to devices, especially electronic and mobile devices.",words and phrases related to electronic devices and technologies.
21,194,the conjunction 'and' in a sentence.,the conjunction 'and'.," the conjunction 'and', especially when it is used to connect two related ideas or items.","the conjunction ""and"" and the definite article ""the"".","the conjunction ""and"" used to connect phrases and sentences."
21,948,"words associated with compliance or adherence to rulings, laws, or directives.",phrases related to fulfilling duties or following orders or laws.,"words and phrases related to compliance, obedience, and following directives or laws.",phrases related to following instructions or abiding by rules/law.,"words related to rules, law, and following directives."
21,208,"descriptions of physical states or conditions, particularly related to harm or danger.",descriptions of violence or harm done to individuals.,"phrases related to violently inflicted injury, death or distress.",descriptions of bodies in harmful or dangerous situations.,"descriptions of individuals in unresponsive or inactive states, particularly in relation to their physical positioning."
21,958,"words and phrases related to gaining, providing or restricting access.",words related to gaining entrance or admission.,"words associated with reaching or obtaining information, services, and opportunities.",words related to gaining entry or introduction to something.,"references to access, whether physical, digital, economic or educational."
22,782,sentences related to public contributions or help from the community.,words and phrases related to public involvement or participation.,"tokens related to community participations, contributions and solicitation of help from others.",phrases related to public actions and contributions.,"words and phrases related to the act of giving, contributing, or asking for help."
22,983,"terms describing injuries or physical harm, and the usage of the preposition 'of'.","words related to conflict, damage, and improvements or solutions.","actions and outcomes related to physical conflict, battle, or improvement efforts.","words related to conflict, harm, and improvement.","words related to conflict, aggression and improvement."
22,870,actions of moving or transporting something from one place to another.,verbs related to movement or transfer from one place to another.,"usage of the word ""carry"" in various contexts.",verbs implying movement or transportation.,the use of the word 'carry' in different contexts.
22,491,"proper nouns and names, particularly related to languages and media franchises.","words that are related to specific names or titles of things, like languages, movies, TV series and books.",references to languages and popular entertainment franchises.,words related to names or nationalities.,"parts of proper nouns, especially those related to media (books, movies, series) and names."
22,814,terms related to software packaging and modification.,programming and software development related terms.,"actions related to packaging and unpackaging, and programming.",parts of words relating to computer programming or software operations.,words related to software modifications or adjustments.
23,1561,phrases describing the passage of time or duration.,phrases indicating a lapse in time or references to events in the past.,phrases indicating the passage of time or intervals between events.,phrases indicating an action or event that has not occurred in a long time or after a particular duration.,"references to instances or events happening after a significant period of time or after a ""first"" occurrence."
23,378,phrases indicating progression or improvement.,prepositions and infinitive verbs indicating future actions or goals., phrases expressing future actions or goals.,phrases indicating an action or outcome that is yet to occur.,"constructions involving ""to"" and ""not"", and verbs indicating motion or progress."
23,464,terms and phrases associated with text-based communication.,occurrences of digital communication and related activities.,phrases related to the use of technology for communication.,actions involving technology usage or manipulation.,"actions related to electronic communication, specifically texting."
23,37,actions or attempts to perform certain tasks or processes.,verbs related to activities or actions., words indicating an action being performed or attempted.,verbs indicating ongoing actions or efforts.,verbs indicating actions or activities.
23,1126,statements about objectives or goals.,phrases that indicate a specific goal or aim.,expressions denoting purpose or objectives.,words and phrases related to setting objectives and goals.,"sentences establishing a purpose, goal, or aim."
24,23,"instances of communication, particularly phone calls.","verbs related to communication, specifically 'call'.", instances of the verb 'call' used in context of communication.,"instances of communication, specifically using the word 'call'.","instances of communication, particularly centered around the verb 'call'."
24,287,"words or phrases that denote or imply connections or relations, especially when denoting the subject of an action.","the use of phrase patterns that indicate a connection or relationship, typically expressed as ""related to"" or ""pertaining to"".",phrases indicating a relationship or connection to a broader topic or context.,"phrases relating to connections or relationships, especially with the use of the words 'related' and 'to'.","phrases and words associated with relationships or connections, often in the context of various fields or contexts."
24,1454,comma-separated elements or phrases.,"punctuation, specifically commas.","the use of the punctuation mark comma (,).",commas and adverbs that intensify or modify adjectives.,"punctuation marks, particularly commas."
24,588,"numbers and fractions, particularly those associated with measurements or time.",punctuation or fractional numbers., numerical fractions and periods (full stops) usually used in listing or denoting time.,fractional numbers and periods used to denote end of sentence or abbreviations.,"fractions, numbers, and punctuation marks, particularly periods."
24,978,"references to educational institutions, especially high schools.","references to legal institutions or education institutions, particularly high schools.","references to institutional organizations or establishments, particularly of educational or legal nature.","references to educational institutions, particularly high schools and the law judiciary.","phrases related to educational institutions, particularly high schools."
25,1060,words and phrases indicating change or transformation.,phrases relating to the potential for change or alteration in various contexts.,verbs and phrases that refer to the theme of altering or changing outcomes.,phrases indicating potential future changes or alterations.,phrases indicating potential changes or alterations in situations.
25,1166,words and phrases related to the acts of collecting or adding.,"statements related to acquiring or preserving information, records, or evidence.", verbs related to gathering or preserving information or records.,tokens related to actions of gathering and preserving information.,"legal terms or situations related to collection, preservation, or recovery."
25,784,comparative phrases typically using 'as'.,the word 'as' and context surrounding comparison or degree of something.,phrases that denote comparison or equivalence.,"comparisons, or words used to describe comparisons or degrees of intensity.",use of the word 'as' and phrases expressing comparison or quantity.
25,810,words associated with position or location.,words related to placement or positioning., uses of the word 'position' in various contexts.,words related to location or placement.,words and phrases related to positions or placement.
25,231,specific times and time-related words.,"elements of event description, specifically time, location, and significant numbers related to an event.", specific time references or references to before and after events.,"specific identifiers or markers such as abbreviations, names, and numerical time stamps.","timestamps and segmentations identified by numbers, and words or phrases related to scheduling and timing."
26,1300,actions conducted while in a certain location or context.,instances of time-oriented transitional words.,instances of the word 'while' used in context to show simultaneous actions.,conjunction words that indicate time or condition.,prepositions often used to describe location or action in context and nouns related to places.
26,1384,words related to finances and banking.,words related to finance and banking.,words related to banking and finance.,words related to the financial sector and terms used in finance.,words related to finance and banking.
26,1007,phrases depicting movement along a path or journey.,phrases referring to travelling or movement along a path or distance.,phrases indicating a journey or movement along a path or through a specific area.,words and phrases related to movement and travel.,prepositions and related terms indicating direction or position.
26,136,numerical values and measurements.,numerical quantities and units of measurement.,numbers and units of measure.,"numbers, dimensions, quantities and comparisons.",tokens related to measurements and quantities.
26,697,verbs related to performing or taking actions.," verbs related to actions or efforts towards serving, leading, or achieving something.","verbs that indicate actions performed by the subject, often related to service or leadership.", verbs associated with action or movement followed by prepositions.,words that denote actions or activities.
27,473,phrases indicating difficulties or challenges.,text related to overcoming challenges or difficulties.,phrases that indicate difficulty or challenge., phrases indicating a state of difficulty or challenge.," phrases implying difficulty, challenge or burden."
27,412,explicit or suggestive content in the text.,expressions related to showing or displaying something.,phrases or words indicating something or someone being revealed or displayed.,"verbs expressing an action or state, and possessive pronouns.",verbs related to display or reveal actions.
27,873,descriptions of the human body and its physical appearances or attributes.,terms and phrases related to the human body.,"references to the human body, especially in a descriptive or evaluative context.","text related to the physical body, and its appearance or portrayal.",phrases referring to physical bodies or physical appearance.
27,579,sentences or phrases that contain reasoning or explanations.,text discussing reasons or explanations for certain phenomena or decisions.,"phrases indicating explanation, reasoning or justification.",words and phrases that express reasons or explanations.," instances of reasons or justifications, especially as indicated by the use of 'why' and 'for'."
27,1199,phrases relating to food and drink preparation and consumption.,phrases related to food and drinks.,"words and phrases related to food, drinks, and serving them.",words related to food and drink preparation and servings.,phrases related to preparing or serving food or drink.
28,406,"the use of the verb ""have,"" particularly in instances where it is used in conjunction with ""may"".",tokens related to the past tense of the verb 'have'.," phrases indicating speculation or uncertainty, often using 'may' or 'have'.","occurrences of the modal verbs ""have"", ""had"", and ""may"".","expressions of past actions or events, often denoted by the use of 'have' with past participles or 'may' with 'have' expressing possibility in the past."
28,1187,quotation marks and recognizes speech-related elements in the text.,direct or quoted speech denoted by quotation marks.,quotes or dialogues in the text.,quoted speech markers or instances of direct speech in the text.,"single and double quotation marks, especially in the context of direct speech."
28,1711,words and phrases related to knowing or understanding information.,"words and phrases related to knowledge, awareness and security."," phrases related to knowledge, data privacy and information security.",terms and phrases related to data and information knowledge.,words associated with information systems and online data management.
28,414,"words and symbols associated with options or alternatives, particularly focusing on the preposition 'or'.",the conjunction 'or' and related symbols.,the word 'or' and variations of it in different contexts.,"the conjunctions ""or"" and ""nor"".",conjunctions and prepositions.
28,596,words and expressions related to the passage of time.,words and punctuation associated with past events or conditions.,words indicating past actions or events.,time-related terms or phrases.," conjunctions, punctuation, and the passive form of the verb 'be'."
