,layer,neuron,Original,Summary,Highlight,HighlightSummary,AVHS
62,1,5181,"instances where the word ""skip"" is mentioned.","words related to skipping or skipping ahead in some context, whether it's physical skipping, skipping steps or sections, or skipping turns.","the token ""skip"" or variations of it, indicating a desire to move past or avoid something.",words or phrases related to skipping or omitting something.,"instances of the word ""skip"" or variations of it."
63,1,5568,words related to someone leaving or departing from a particular situation or place.,references to someone leaving or exiting a particular situation or context.,words or phrases related to leaving or exiting.,instances of someone leaving or departing from a particular context or situation.,instances of someone leaving or departing from a place or position.
64,2,1372,words related to the act of someone or something disappearing.,words related to disappearance or missing individuals.,words related to disappearance or missing persons.,words related to someone or something going missing or disappearing.,mentions or references to people or things that have disappeared.
65,2,1738,words related to familiarity or references to familiar figures.,words or phrases related to familiarity or recognition.,words or phrases related to familiarity or familiarity with a topic/person.,words related to familiarity or recognition.,words related to familiarity or recognition.
66,2,4070,words related to differentiation or distinction.,words related to identifying differences or distinguishing between different things or categories.,words or phrases related to distinguishing or differentiating between things.,words related to differentiating or distinguishing between things or categories.,words related to differentiating or identifying distinct elements or characteristics.
67,2,4498,words related to removing or eliminating something.,words or phrases related to getting rid of something or someone.,phrases related to getting rid of something or someone.,phrases or words related to getting rid of something or someone.,words or phrases related to eliminating or getting rid of something.
68,2,5901,"words or patterns related to specific entities or locations, possibly related to a specific league or district name.","words or patterns containing the letters ""IFIC"" or ""ific"".",tokens related to specificity or specific details.,words ending in 'ific'.,"words or parts of words that contain ""ific"", which could be related to the abbreviation for specific."
69,3,3708,words related to freedom and availability.,the mention of something being available at no cost or being provided for free.,"occurrences of the word ""free"" or phrases related to free of charge or no cost.","tokens related to the concept of something being offered or provided without cost, such as ""free"" or ""free of charge.""",references to something being available at no cost or free of charge.
70,3,4012,"words related to specific philosophical or political ideologies, particularly ""ism"" suffixes.",words or suffixes related to ideologies and philosophical concepts.,"words related to ideologies or philosophical concepts such as ""ism"".","words ending in ""ism"" and related to ideologies or belief systems.","words or suffixes related to specific ideologies or belief systems, such as ""-ism""."
71,4,626,words or phrases related to contributions and involvement in various contexts.,words or phrases related to contributing to a cause or making a contribution.,words related to contributions or contributions to a cause or endeavor.,"words related to contributions, whether in the context of making a contribution to a cause, recognizing someone's contribution, or being a contributor to a specific platform or project.",words related to contributions or contributors.
72,4,3889,"words related to the concept of ""word"" or the act of wording something.","individual words, possibly with a focus on specific keywords or vocabulary usage.",words or phrases related to editing or modifying text.,words that are incomplete or incomplete root words.,"words or phrases related to language, specifically focusing on finding and manipulating words."
73,4,6002,words or phrases related to viability or effectiveness.,adjectives or phrases associated with something being feasible or capable of success.,words related to being feasible or having potential for success.,adjectives that describe something as feasible or capable of success.,words related to feasibility or potential effectiveness.
74,5,618,words and phrases related to reservations and booking.,"terms related to reservations, booking, and land ownership.","tokens related to reservations or booking, such as the words ""reserve,"" ""reservation,"" ""reserved,"" and ""reserving.""","terms related to booking, reserving, and ownership.","terms related to reservations, booking, camping, and land ownership."
75,5,2644,"words related to the flow of water or substances, including instances where lead is involved.","words related to the movement or direction of liquids, such as 'flow' or 'flowed'.",words related to the movement or transfer of substances or objects.,"words related to the movement or direction of something, such as flow or flowing.",verbs related to the movement of liquids or substances.
76,5,3256,words and phrases related to expressions of condolences and mourning.,words related to expressing sympathy or offering condolences.,"words related to grief, condolences, and loss.","words related to expressing sympathy, grief, and condolences in the context of mourning or unfortunate events.",words related to expressing sympathy or offering condolences.
77,7,47,references to DNA and its related terms.,"references to DNA, particularly in the context of crime and investigation.","words and phrases related to DNA, genetic material, and genetic information.",mentions and references to DNA in various contexts.,mentions of DNA.
78,7,5614,references or mentions of painting and art-related activities.,"occurrences of the word ""painted"" and related words.","words related to visual arts, specifically painting and depiction with colors.","tokens related to visual art, such as the act of painting and descriptions of paintings.",words related to the act of painting or describing visual representation.
79,10,1308,words related to sufficiency or adequacy.,words related to adequacy or sufficiency.,words related to quantity or adequacy.,"terms related to adequacy, availability, and attainment of resources or conditions.","words and phrases related to adequacy, sufficiency, and meeting requirements."
80,14,4594,words related to a person's name or references to a specific individual.,"words related to specific names or surnames, particularly those that end in 'ood' or 'urn'.","names of people or places, specifically focusing on the last part of the name or place, often ending in ""e"".","words related to the concept of ""mood"" or emotional state.",last names of individuals.
81,20,1720,terms related to camera focusing and lenses.,"tokens related to camera equipment and photography techniques, particularly focusing and lenses.","words related to focusing, either in terms of photography or mental focus.",words related to camera lenses and focus.,words related to visual focus and lens functionality.
82,0,3986,"words related to news events or incidents, specifically focusing on numbers and locations.",words related to entering or accessing a place or area.,words related to entrances or access points.,words related to the concept of entry or access.,"words related to entry, access, and locations where entry is relevant."
83,1,339,words and phrases related to emotions and happiness.,"emotions or states of well-being, particularly related to happiness and pleasure.","words associated with emotions and feelings, particularly joy and happiness.","words related to positive emotions and feelings, particularly happiness and pleasure.","words related to positive emotions, particularly happiness and pleasure."
84,1,572,"instances of the word ""most"".","the word ""most"" in various contexts.","words or phrases indicating generalization or comparison, such as ""most"" or ""like most"".","the word ""most"" and its usage in comparisons or generalizations.","comparative terms (""more,"" ""most"") and their associations with the frequency or prevalence of something."
85,1,999,phrases or words related to negative statements or critiques.,"the token ""not"" in various contexts, which typically negates or contradicts the preceding statement.",phrases or tokens related to negation or negating statements.,negation or negative terms.,negations or negative words.
86,1,1259,"instances of the word ""Snap"" in various contexts.","the word ""snap"" which is often associated with quick and instant actions or processes.","words related to quick actions or movements, such as ""snap"", ""snapchat"", ""snap-together"", and ""snap pictures"".",words or phrases related to quick and easy actions or manipulations.,references to the action of taking a quick photograph.
87,1,2122,words related to scientific professions or studies.,"words related to professions or fields of study, particularly those ending in 'ologist' or 'ician'.",words related to specific professions or fields of study.,words related to scientific professions or fields of study.,words related to professional occupations ending in '-ologist' or '-ician'.
88,1,2468,"words related to conflicts and clashes, especially in the context of power lines, tribes, governments, and countries.","words related to conflicts, clashes, and disruptions.","words related to conflicts, clashes, and disruptions.","words related to conflict, clashes, and disruptions.","words related to conflicts, clashes, and disruptions."
89,1,4016,invitations or opportunities for participation or engagement.,keywords related to invitations and social events.,words related to invitation or being welcomed.,"instances where someone is being invited or the mention of challenges, as well as specific locations such as ""Portland"" and ""Polar"".",references to invitations or being invited to events or activities.
90,1,4157,words related to web crawling or data extraction.,"tokens related to names or surnames that end with ""ovic"".",words related to crawling or searching for data or information.,tokens that are either part of names or words that contain patterns typically found in data extraction or web crawling processes.,"tokens that contain the sequence ""ovic""."
91,1,5054,"words related to coding, errors, and technical instructions.","words related to computer programming, specifically focusing on tokens like ""code"" and ""data"".",code snippets or references to coding.,words and terms related to programming code or error handling.,instances of code snippets or references to code.
92,1,5185,"words related to events or activities, specifically highlighting the term ""fair"" multiple times.","instances of the word ""fair"" being used in different contexts, such as fairytale elements, events or exhibitions, fairness, and fairs as in marketplaces or sales.",words related to fairs or events.,"words related to events or contexts related to fairs, such as fairies, prize fairs, or job fairs.","words related to events or concepts related to fair, such as fairs themselves or fair-related activities."
93,1,5566,mentions of mocking or satire.,"words related to satire, parody, or imitation.","words related to imitation, parody, and satire.","words or phrases related to imitation, parody, or making fun of something/someone.","words related to imitation or exaggeration, particularly in a mocking or satirical context."
94,1,5947,"words and phrases related to representation, particularly in the context of community, politics, and communication.","words related to representing or representation, particularly in the context of communities, individuals, or organizations.",tokens related to representation or representing something/someone.,"tokens related to representing or representation, particularly in the context of communities, organizations, or concepts.","tokens related to representing, representation, and misrepresentation in various contexts."
95,2,1524,words related to the establishment or creation of something.,"words related to the creation or establishment of something, such as organizations, clinics, or laboratories.","words and phrases related to the creation, formation, or founding of something, such as an establishment or clinic.","terms related to the creation or founding of something, such as establishments or organizations.","words related to the creation or founding of something, such as a business, organization, or institution."
96,2,2015,words related to burial or being buried.,words related to burying or hiding something.,"references to things being hidden, concealed, or buried.",situations or actions related to burying or hiding something.,"occurrences of the word ""buried"" or related contexts involving objects or information being hidden or concealed."
97,2,3370,mentions or references to tables or charts.,words related to tables or data representation.,"references to tables, whether it's about electronic devices (smartphones, tablets), website design (layouts), or discussions (round-table conversations).","the word ""table"" or phrases related to tables or table-like structures.","mentions or references to tables, particularly in the context of electronic devices or online content."
98,2,4587,words related to importance or prominence.,"words related to being well-known, influential, or recognized.","words indicating prominence, importance, or being highly recognized or influential.","adjectives that express importance, prominence, or significance.",adjectives that describe the significance or importance of something or someone.
99,3,454,"information related to components, possibly in the context of technology or design.",words related to different parts or elements that make up a whole system or object.,words related to components or parts of something.,words related to parts or elements within a larger system or structure.,words related to parts or elements that make up a larger system or object.
100,3,3862,words related to hybrid creatures or objects.,words related to hybridization or hybrid creatures.,"words or phrases related to hybridization, which can refer to a combination of different species, genres, or technological devices.","words related to the concept of hybrids, such as hybrid animals or hybridization.",words related to hybridization or hybrids.
101,3,4148,"mentions of geographical locations, specifically ""Carolina"" and ""Coast"".","words related to geographical locations, specifically focusing on the state of North Carolina.","mentions of specific geographical locations, particularly states (e.g. North Carolina, South Carolina).","references to specific geographic locations, particularly related to the state of Carolina and the East Coast.","mentions of US states, particularly North Carolina and South Carolina."
102,4,284,words and phrases related to historical events and political discussions.,words related to recurring or repeated sequences or designs.,words related to recurring sequences or repeated structures.,"the word ""pattern"" and phrases related to repetition or recurring themes.","words related to repetitive sequences or designs, particularly in the context of patterns or behaviors."
103,4,1670,words related to temporary situations or conditions.,words related to temporary situations or conditions.,words related to temporary situations or occurrences.,words related to temporary situations or conditions.,words or phrases related to temporary or short-term situations or conditions.
104,5,619,"words related to support, such as ""support"", ""supporters"", and ""supporting"".",words and phrases related to support or advocacy.,words related to support or backing.,words and phrases related to support and advocacy.,"tokens related to support, including words like ""support,"" ""supporters,"" and relevant phrases like ""opposing."""
105,6,483,pronouns and words related to personal actions or experiences.,words related to personal identity and individual actions.,"instances where the phrase ""[yourself]"" or similar variations appear, indicating a focus on personal involvement or individual actions.",pronouns and words related to personal identity.,pronouns and words related to individual identity or self.
106,6,4214,words related to marks or markings.,"keywords related to markings or symbols, such as ""marks"" and ""punctuation marks"", which are often associated with identification, grading, or categorizing.",words related to markings or symbols.,"words related to marks, specifically highlighting the terms ""marks,"" ""marksman,"" and ""magic.""",words related to marks or symbols.
107,6,4910,words related to economic growth or expansion.,"terms related to economic growth or increase in activity, particularly in industries or markets.",terms related to economic growth or prosperity.,terms related to periods of rapid economic growth or activity.,references to economic growth or prosperity.
108,7,828,words related to specific topics or subjects.,"words related to the main topic or focus of a text, particularly in the context of discussions, articles, or investigations.",words related to a specific topic or subject being discussed.,words related to topics or subjects being discussed or mentioned.,words related to topics or subjects of discussion or investigation.
109,7,5286,phrases related to official statements or news releases.,instances of news releases or announcements being made.,"tokens related to news-related activities and events, such as ""news release"" and mentions of news-related organizations and actions.","tokens related to the dissemination of information, particularly through news releases or statements.",terms related to news releases or official statements.
110,14,918,"phrases related to interviews or conversations, specifically questions and answers.",instances where the word 'by' is used.,phrases related to surprise or unexpected events.,"prepositions indicating agency or cause, such as ""by"".",expressions related to being taken by surprise or unexpected events.
111,16,1154,"words related to political or official settings, such as the White House or parliament.","words or phrases related to the environment or surroundings in different contexts, such as physical, social, or emotional atmospheres.","words related to the environment or surroundings, such as atmosphere.",words related to the environment or surroundings.,"words related to the environment or surroundings, specifically referencing the atmosphere."
112,20,477,"words related to navigation and directions, as well as some programming code snippets.",tokens related to direction or movement downwards.,words or phrases related to movement in a downward direction.,"tokens related to moving or scrolling downwards, or reducing intensity.","tokens related to direction, specifically the word ""down""."
113,22,2797,mentions of notable individuals or things that are worth mentioning or making a difference.,"the verb ""make"" in various contexts and forms.","verbs related to creating, producing, or causing something.","verbs related to creating, producing, or causing something.","words related to creating, constructing, or producing something."
114,30,5301,"words related to vulnerability, exploitation, and potential security breaches.","words related to security vulnerabilities, breaches, and exploitation.","words related to vulnerability, exploitation, and security breaches.","words related to vulnerabilities, exploits, and exploitation in various contexts such as technology, security, and human rights.","words related to vulnerabilities, exploits, and potentially harmful actions or situations."
115,0,1239,"words and phrases related to financial trends, such as decreasing, bottom, reversal, and downward trend.",words related to the concept of reversal or turning around of a situation.,words or phrases related to the concept of reversal or turning around.,words related to a change in direction or a reversal of a trend or situation.,words related to the concept of reversing or changing direction.
116,0,1746,"contractions like ""it's"" and ""'ll"".","possessive forms of words, indicated by the apostrophe-s ('s).","contractions like ""it's"" and ""that's""","contractions of ""is"" and possessive forms of words.","contractions involving the words ""is"" and ""will""."
117,0,5653,words related to normalcy or regularity.,adverbs related to the normal state or condition of something.,adverbs related to normalcy or expected behavior.,adverbs describing regularity or usual conditions.,adverbs that indicate a typical or expected state.
118,1,98,words related to physical exhaustion or fatigue.,words related to physical or mental fatigue or depletion of energy.,words related to physical or mental exhaustion.,tokens related to physical or mental tiredness or depletion.,words related to physical and mental exhaustion.
119,1,428,information related to electronic tags and identifiers embedded within objects or images.,words or phrases related to things being embedded or inserted within something else.,words or phrases related to embedding or being embedded in something.,"words related to something being fixed or inserted into something else, often within a specific context or structure.",words related to embedding or being deeply integrated into something.
120,1,679,words related to being under something or someone.,instances where something is being located or positioned beneath something else.,phrases or tokens related to being under something or being in a subordinate position or experiencing pressure.,"the word ""under"" in various contexts.","words related to being under something or someone, such as being under pressure, under government policies, under glass, or under a weight."
121,1,1480,references to resting or being at rest.,"words related to relaxation, stillness, or being in a state of rest.","words related to ""resting"" or ""settling"".","words related to physical position or state, specifically focusing on words related to something being at rest or being rested.",words related to resting or being still.
122,1,2310,"phrases related to subscription and engagement with a publication or program called ""The Nation"".","phrases related to specific groups, organizations, or communities, specifically the word ""Nation"" and related terms.","phrases or tokens related to the name or branding of a specific entity or organization, such as ""Nation"" or ""Bachelor Nation"".","references related to a specific organization or group, in this case, ""The Nation"" and ""Bachelor Nation"".","mentions of the word ""Nation"" in various contexts, including references to publications, community, and titles."
