Layer,Neuron,Original,Summary,Highlight,HighlightSummary,AVHS
11,1533,personal pronouns and their associations with numbers and actions.,endings of words or sentences.,"abbreviations and old-fashioned, less common words.",tokens which complete words when combined with the previous unhighlighted parts.,two-letter syllables at the end of words.
12,276," instances of past actions or events, often represented by the past tense or conditional verbs like ""would"" and ""was""."," occurrences of past and future tense (e.g., 'would', 'had') and emphasis on personal relationships or interactions.",past and future conditional tense verbs., past tense verbs or verb phrases.,"past tense verbs, pronouns, and punctuation associated with descriptions of past events or narratives."
12,278,parts of words or names that are of non-English origin.,parts of words that are commonly found in geographical and location names.,words related to locations.,parts of words that when isolated do not form meaningful or complete words.,tokens related to location and spatial relations.
12,404,verbs related to beginning or initiating actions.,phrases related to the process of starting or beginning something.,phrases related to the commencement or initiation of actions or activities., verbs indicating the initiation or start of an action or process.,phrases that describe a process or a course of action.
12,3023,"four-letter words that end in 'sh', non-english characters, as well as numbers and group-related words.",special characters and non-English words.,"tokens related to direct actions, especially actions that induce or influence change.","special characters, specifically the symbol ""�"", and English words related with physical contact.",non-standard or special characters.
12,3450,"specific characters and numbers (like ""_"" and ""256"") and phrases related to downward trends or lack of illumination such as ""dim"" and ""away"".","terms related to finance and calculations, including banking terminology and mathematical symbols or variables.",words and symbols related to diminution or decrease.,words related to dimming or nouns ending in 'on'. As well as the use of the underscore symbol in coding.,mentions of the word part 'dim' and mentions of JPMorgan and Bitcoin in various contexts.
13,21,numbers and related symbols.,key points or highlights within the provided context.,"numbers, prepositions, or words related to safety and welfare.","numerical orderings, cardinal numbers and words signifying safety or well-being.",punctuation marks and numbers.
13,749,words related to protective or covering items.,parts of words that relate to physical substances and materials.,"words that end with a suffix ""-patch"", ""-chlor"", and ""-col"", that might indicate specific types of compounds or materials.",parts of words that relate to material or substance components.,suffixes or endings of words.
13,1231,sentences or phrases where advice or suggestions are being given.,third-person pronouns and conjunctions.,third person singular pronouns followed by action verbs.,"pronominal subjects following a clause, often associated with verbs of communication or sending.", instances of third person singular pronouns and corresponding verbs.
13,1285, names and professions that end in 'o' or 'os' or have a 'ph' in them.,parts of words typically associated with names or occupations.,parts of words that contain 'ph' as a part of a name or a profession.,parts of names and professional or occupational titles., words related to professions and professional identities.
13,1751,punctuation marks and numbers.,punctuation marks and the presence of time-related concepts., punctuation marks and numbers.,punctuation marks and words indicating specific points or units such as time and numbers.,punctuation marks and numeric values.
14,717," personal pronouns, generally coupled with action verbs.","tokens related to acts of possession, personal pronouns, and reflective actions.","contractions that indicate the singular third person viewpoint (""he's"", ""it's"", etc.).",third-person singular pronouns and contractions of verbs and pronouns.,  examples of third person pronouns and verb conjugations that correspond to third person usage.
14,944,"verbs and nouns related to establishment, presence and notable entities or locations.","words relating to presence, power, and authority.",nouns related to prominent positions or roles.,tokens related to positions of influence or control.,"words and phrases related to positions, roles, or presence in the context of organizations, systems, or communities."
14,1032,examples of direct measurements or top tier rankings or levels.,hyphenated words and measurements.,words and phrases indicating superiority or high ranking.,hyphenated descriptors and measurements.,ordinal numbers and words and phrases that denote rank or levels.
14,1361,terms related to organizational structures or classifications.,"words related to categories, groups or organizational systems."," nouns or noun phrases that are formal, specialized terms or titles.",nouns often associated with or used as headers or titles in text or documents.,"words that often appear in headings, titles or organizational structures."
14,1675,adjectives that relate to ease or effort.,words describing directions or positions.,directional words and phrases or words related to effort and self improvement.,words that can be used as directions or descriptors of effort.,"words or parts of words related to ease, directions, correctness, and extremities."
15,383,political terms and expressions related to governing institutions and territories.,words related to political and governmental entities.,terms related to politics or governmental affairs.,"words relating to government, politics, or societal dynamics.","words and phrases related to governance, politics, and societal structures."
15,455," proper nouns, particularly names and locations.",repeated words or terms in the text.,specific proper nouns or entities., parts of proper nouns or names.,"parts of proper nouns or names, especially in the context of individuals or titles."
15,914,"numbers and punctuation marks, especially comma and semicolon.",common punctuation markers.,"punctuation, specifically commas and semicolons.",punctuation marks and short connective words.,punctuation marks and conjunctions.
15,1173,words relating to actions and movements.,verbs that depict movement or progression.,various actions taken by individuals.,"parts of verbs, specifically the endings.",verbs ending in 'ing' and possessives.
15,1686,words and phrases relating to observations and visual phenomena.,the usage of perception verbs and intensifying adverbs.,phrases that express anticipation or expectation.,common adverbs and prepositions.," phrases linked with perception or observation, particularly using the verb ""to see"", and expressions indicating the degree of something."
16,263,nouns and verbs related to professional or business activities.,"tokens indicating involvement, contribution, or responsibility in an event or action.",words and phrases indicating involvement or responsibility.,words and phrases associated with roles and activities in a professional or business context.,"words and phrases associated with actions, events or reasons."
16,336,words related to seeds and growth.,words related to 'seeds' and some characters of punctuation.,abbreviations or short forms of longer terms.,words and phrases related to seeds and vegetation.,"parts of words related to 'seed', in various contexts, including gaming and genetics."
16,650,relationships and familial connections.,"prepositions (like 'of', 'to', 'with', 'in') and articles ('a' and 'the').", phrases indicating relationships or connections between people.,prepositions and definite articles signifying connection or relationships between entities.,words and phrases related to familial or personal relationships.
16,922,"parts of words that contain 'ough', 'to', 'ash', 'sc', 'little', and 'of'.","part of words that end with 'ough', 'to' and contains 'ull', 'ash', 'aff'.",parts of surnames or last names.,two or three letter word endings.,two or three letter clusters that are part of longer words.
16,1122," numerical values, especially those related to lists or rankings.",parentheses and the word 'one'.,numbers and numerical terms within the text.,"tokens related to enumeration or categorization, such as brackets and numerical identifiers.","symbols related to lists, enumeration, and punctuation, as well as phrases referring to variety or differentiation among options."
17,1219,verbs followed by prepositions.,"verbs that express judgement, comparison, or transition.",sentence structures that involve embedded direct speech or personal opinions.,prepositions and helping verbs.,words and phrases that indicate transformation or change in state or position.
17,1694, specific foreign language syllables with high frequency in the text., words that have combinations of specific letters together in the word., specialised terms or jargon from various fields.,"tokens that are part of specific or specialized terms, particularly those appearing in context related to unique objects or activities in niche topics such as fantasy, martial arts, Japanese administrative procedures, scriptwriting, and technology.",acronyms or parts of specific words repeated within the same context.
17,1757,sentences discussing attempts or efforts to do something.,phrases indicating an action or attempt to perform an action.,phrases indicating attempts or efforts to do or achieve something.,"verbs related to intention or effort, often in the context of accessing or acquiring something.",blurbs and sentences indicating an attempt or action towards access or change.
17,1927, sequences of words representing actions followed by their objects.,references to legislative bills and the distribution or announcement of information or decisions.," legislative numbering (i.e., ""Bill"" followed by a number) and actions of distributing written information or statements.","words related to law and legislation, as well as distribution of written information."," words related to legislation, government actions, and public communication."
17,2465,words and phrases that indicate a process or change happening over time.,times the letter 'g' appears and words implying a requirement or necessity.,"abbreviations or short-forms and tokens related to possessing, having, or ordering.",words or characters related to enumeration or sequence.,the 'g' part of a token and common English prepositions and determiners.
18,8,legal terms and policy measures.,words and phrases related to legal terms and regulations.,"keywords related to law, justice, and legal concepts.","words related to rules, laws or orders.",tokens related to legal and regulatory actions or behaviors.
18,299,phrases that suggest action or motion.,"parts of words that form the ending or middle of the word, often focusing on consonant sounds.",parts of words that form gerunds (verbs ending in 'ing') or past tense verbs.,parts of words that form the ending of a word or name.," parts of words with the 'plosive' consonant sounds such as 't', 'd', 'b', 'g', 'k', 'p'."
18,722,"words related to technology, failure, names, and social justice.",common definite article 'the'., parts of compound words or phrases associated with names or titles.,"the use of the word 'the' and parts of words that could be part of larger specific terminology, especially names and nouns.","common words including definite articles and conjunctions. Additionally, it also identifies fragments of words, potentially as a result of proper names or complex terms."
18,994,words and phrases related to major political events and figures.,words related to political events and figures.,"directional indicators, particularly those used in describing positioning within a group photo or scene.","elements of journalistic reporting, particularly locations, dates, and names.","elements of formatting and punctuation used in news articles, with a particular focus on the use of commas."
18,1140,technical and procedural terminology.,"technical terminology and specific jargon across various professional fields.
"," parts of complex or technical language, including discussion of tasks, processes, coding and data structures.","technical terms and phrases related to software, programming, or processing tasks.",tokens related to coding and programming.
19,383,verbs and related terms that denote a sense of action or change.,words related to problem-solving or making improvements.,words and phrases indicating a need or requirement for change or improvement.," words related to actions or efforts taken for improvement, correction or change.",actions or processes that involve time or require a certain time period.
19,475,"sequences of words, characters, or numbers indicating a list or a series.",numerical values and capitalized words., occurrences of repetition or duplicate sequences.,"numbers, new lines, and exclamations, often indicating a change in participants or turns in a dialogue or list format.",numbers and pronouns associated with repetition or listing.
19,1782,personal possessive pronouns and related context.,"tokens related to demonstrating, confirming, or reacting to an action or situation.",prepositions in text.,prepositions.,"words related to assertions, confirmations, and denials."
19,2119,"keywords relating to initiation, continuation, or ending of official or formal discussions or negotiations.","words related to initiation, continuation or conclusion of discussions or negotiations."," phrases related to negotiations, discussions, or dialogue processes.","tokens related to discussions, negotiations or talks, especially regarding resolution or progression.",words and phrases related to negotiations or formal discussions.
19,2508, written numbers and related concepts.,numeric values within the text., numerals and numbers written in words.,numeric values written in words.,numbers in written form.
20,382,words or portions of words that have a high frequency of the vowel 'a'.,tokens that contain vowels and single characters.,instances where the token is a part of a proper noun or abbreviation.,individual letters within words.,"specific, non-English letters and punctuation marks."
20,499,"instances where 'also', 'too', or 'additional' actions or situations are present in the context.","tokens indicating inclusion or shared experiences, often represented by the use of the word 'too'.",phrases where someone or something is being compared or included with others.,words and phrases related to similarity or conformity.,words and phrases associated with inclusion or being part of a whole group.
20,854,verbs related to the processing or transformation of an object.,words associated with processes and actions.,verbs that indicate process or action.,words related to processes or actions.,verbs denoting action or movement.
20,989,"phrases indicating strong, often negative, judgments or assertions.",actions and activities associated with official or formal information distribution.,"phrases that convey the action or process of producing, creating, or displaying something.","instances of reporting, documentation or communication.",words and phrases related to actions or processes.
20,1721, standalone letters and digits or short words with these characters.,"small, often disconnected, parts of words and symbols.","specific terminology or code from various fields like politics, gaming, taxation, sports and automotive.","small parts of words, such as common endings or syllables.",isolated letters and parts of words.
21,39,numerical and alphabetical sequences or listings.,"characters, digits, symbols and phrases that are part of structured, sequential or ordered data.", words or phrases that indicate sequence or order.,punctuation marks and alphabetical or numerical sequences.,"sequences of letters, characters or numbers suggesting an order or a list."
21,343,parts of complex alphanumeric codes or sequences.,alphanumeric codes or short strings with numbers and letters mixed.,parts of alphanumeric sequences or codes., alphanumeric characters and symbols that are typically used in coding or web URLs.,"alphanumeric character sequences, potentially from code or URLs."
21,594,parts of compound words and web URLs.,partial names of famous people and references to academic works.,"identify parts of proper nouns, especially related to names and citations.","parts of names of notable people, references to academic papers, grammatical indicators, and parts of internet language.",parts of proper nouns or brand names.
21,759,prepositions and conjunctions connecting parts of sentences.,"prepositions such as ""on"", ""of"", ""to"", and ""towards"".",phrases related to computer software or gaming.,prepositions or words related to direction or location.,"the preposition ""of""."
21,784,"sequences denoting positions, relative locations or instructions.",phrases related to position and location., prepositions and conjunctions that establish relationships between items or elements., words connected with descriptions and orientations.,descriptions or specifications of physical items or conditions.
22,335,phrases indicating challenges or potential for future improvement.,phrases indicating uncertainty or subject to change.,phrases indicating the need for improvement or a deficiency in the context.,words and phrases indicating a need for improvement or an incomplete status.,tokens associated with self-criticism or improvement opportunities.
22,399,specific terms related to scientific or technical context.,specific key terms or jargon related to the respective subject of the text.,"specific keywords or terms related to particular topics such as CBD oil, religious teachings, shock, medical treatment and news report.","terms related to specific concepts or subjects, such as CBD in a context of cannabis, teachings and teaching in religious context, or alone in a medical context.",specific nouns or terms related to a particular subject or context.
22,601,numerical values or numbers within the text.,numbers and locations., citations or references indicated by square brackets with numbers inside.,numerical notations or country names in square brackets.,"numbers, punctuation marks, and short tokens (1-2 letters or symbols)."
22,1149, multi-word proper nouns or technical terms.,"words or parts of words related to scholarly or academic contexts, including technical terms and names of organizations or laboratories.",instances of nouns followed by a clause signifier like 'have' or 'are'.,terminology and phrases typically used in academic or scientific contexts.,words related to scientific terminologies and experiments.
22,1858,word or letter sequences that form the end part of words or sentences.,words related to actions or movements.,words related to actions or movements in context.,nouns and verbs related to actions or objects.,"words associated with sports, violent actions, feminine nouns, and programming. This suggests that the neuronal activation is situation dependent and does not have a consistent pattern amongst various topics."
23,458,"individual letters or very short words, often found in acronyms or abbreviations.","individual letters from words, taking into account their context.","single letters, often used as initials or abbreviations.",letters occurring in the middle of words.,parts of capitalized words or phrases.
23,825, third person singular pronouns along with associated verbs indicating action or change.,sentences that describe processes or provide instructions.,"actions related to care, maintenance, or giving instructions.",terminology and phrases related to the process or action of something happening or being performed.,verbs related to actions or processes.
23,902,"elements of a series or sequence, indicated by commas, dashes, or dots.",punctuation and special characters.,"the presence of punctuation marks, specifically, commas and hyphens.",punctuation symbols.,"conjunctions and punctuation marks, including commas and hyphens."
23,1011,names of people and titles.,names and numerical information.,"proper nouns, such as names of people and corporations.",names of people or characters.,"references to proper nouns, such as names, places, or titles."
23,1071,"single letters, particularly 'M', with a secondary focus on words related to distinction and specialness.",tokens related to expressions of opinion or personal judgement.,"tokens related to special things or situations, often marked by an emphasis.",individual letters and phrases that express sentiment or emphasize a point.,representation of common English language abbreviations or contractions.
24,366,email addresses and website URLs.,punctuation and special characters.,"punctuation markers or symbols used in formal, structured text such as emails, URLs, DOIs, and academic references.","symbols commonly used in written communication like colon, comma, at symbol, slash, and dot.","syntax and formatting elements, such as punctuation, URLs, and reference citations."
24,579,words and phrases related to law and justice.,words that denote important parts of narratives such as character actions and narrative progression.,parts of text referring to actions or activities that are identified or labeled.,"auxiliary verbs, conjunctions and prepositions, and compound words in quotations indicating specific operations or initiatives.","quotes, declarations, and mentions of laws or operations, often in a context related to enforcement and changes in rules."
24,846,"words related to materials, conditions or states, and feminine fashion.",common punctuation and linking words.," sentences ending with punctuation, specifically a period ('.').",punctuation and coordinating conjunctions.,punctuation in different contexts and words related to physical objects or their attributes.
24,1159," instances of the word ""always"" followed by a verb, indicating a continuous action or behavior.",examples of the word 'always'.,the word 'always' in various contexts.,the use of the word 'always' in various contexts.,the word 'always' accompanied by present continuous verbs.
24,1225," words and phrases related to commitment and assurance, particularly in the context of participation or membership.",words and phrases referring to commitments or obligations.," phrases related to making formal pledges, commitments or agreements.",tokens generally associated with obligations or commitments.,"words and phrases related to obligations, commitments, and benefits."
25,191,"comparisons, particularly instances where something is described as more than or less than something else.","the conjunctions, prepositions, and negations.",comparative phrases and expressions that denote difference or contrast.,common prepositions and adverbs often used in comparison and location contexts.,words indicating contrast and comparison.
25,415,"specific computing or programming terms and jargon, with an emphasis on version control systems.",references to technology or software names.,"mentions of specific software, systems, or programming languages.","references to version control systems like Git and Gnome, and use of negative contractions.",specific terms related to software and coding conventions.
25,443,comparisons and contrasts within the text.,comparative phrases and contrasting statements.,comparative phrases and constructs.,"common English conjunctions, articles, prepositions, and auxiliary verbs.",comparative sentences and phrases indicating contrasts.
25,665,characters or symbols often used in coding or mathematical expressions.,technical terms and symbols commonly used in programming and physics.,technical and programming terms or phrases.,special characters and symbols often used in coding and mathematical or scientific context.,"symbols, punctuation, special characters and programming/scripting language tokens."
25,757, words related to cooking or words that include 'pan'.,words related to planning or cooking.,the prefix 'pan-' in various contexts.,"tokens that relate to actions or objects involved in view or perspective, like 'pan', as well as forms of the verb 'will'.","words related to the act of planning or executing a process, particularly in cooking or implementing tasks."
26,314,"punctuation, particularly colons and periods, often associated with listing or enumerating points.",punctuation used for listing or enumerating points., bullet points or numbered lists.,punctuation marks used in lists or before introducing explanations.,list formatting or enumeration in text.
26,627,references to corrections or updates in text and time indications.,"editorial or update notes in the text, like corrections and timestamps.","terms and phrases related to corrections, modifications or updates in the text.","terms and phrases common in corrections, updates, or clarifications in articles.","indications of corrections or updates in text, and words associated with evaluation or judgement."
26,643, instances of choice or decision-making.,"instances of choice or selection, often detected through the presence of the word ""whether"".",expressions indicating a choice or decision-making process.,words related to making choices or decisions.,words dealing with choices or options.
26,1524, expressions related to video game components and features.,tokens related to video game terminology and features.,phrases referring to video gaming content and related features.,tokens related to video gaming language and terminology.,words related to video game terminology.
26,1625,pop culture references and specific items or elements related to them.,"words and phrases related to various forms of competition or events, whether that's pageants, fights, disagreements, or other activities.","pairs of direct action or relationship indicated by verbs followed by the preposition ""to"".","quotation symbols, punctuation symbols, and words related to specific locations or objects.","punctuation marks, prepositions, and phrases related to groupings or belonging to a category."
27,252,phrases describing observation or perception.,words or phrases indicating perspective or point of view.,prepositional phrases indicating a viewpoint or perspective.,prepositions and their associated phrases.,prepositions and auxiliary verbs.
