Layer,Neuron,Original,Summary,Highlight,HighlightSummary,AVHS
1,5151,"the word ""once"".",occurrences or instances of events.,"occurrences or mentions of the word ""once"".",occurrences or instances of an action happening.,occurrences or instances of events.
1,6098,terms related to legal actions and government seizure of property.,"words related to the legal concept of seizure, particularly in the context of assets, property, and law enforcement actions.","words or phrases related to legal actions, such as asset forfeiture, seizure, and search and seizure.","words related to legal actions and events, specifically focused on terms like ""forfeiture,"" ""seized,"" ""enforcement,"" and ""seizure.""","words and concepts related to legal actions, such as forfeiture, seizure, and enforcement."
1,1163,words related to homelessness or people in need.,"words ending in 'eless', which could indicate a focus on things that lack or are without a certain quality or characteristic.","words or tokens related to absence or lack, such as ""engin[eless]"", ""n[ameless]"", ""fac[eless]"", ""hom[eless]"", and ""Lif[eless]"".",words ending in 'eless' or 'less'.,"words related to the absence or lack of something, particularly 'eless' as a suffix."
1,228,words related to business and competition.,words related to competition and rivalries.,"words related to competition and comparison, such as ""customers"", ""competitors"", ""rivals"".",words related to business competition and rivals.,words related to business and competition.
1,2707,"pronouns ""they"" and ""their"".",pronouns referring to a group or entity.,"reference to collective groups or entities, such as ""they"" or organizations.",pronouns referring to a group of people or entities.,"pronouns such as ""they"" or ""their"" that refer to unspecified entities."
1,2907,"mentions or references to the word ""nod"" or related words.","words or phrases related to acknowledgement or approval, often indicated by the word ""nod"".","the word ""nod"" or similar references to acknowledgement or recognition.",words or phrases related to acknowledgement or recognition.,"terms related to acknowledgement or recognition, such as 'nod' or 'majority'."
1,3039,words indicating suggestions or recommendations.,"the modal verb ""should"" used in expressing opinions, suggestions, or recommendations.",phrases indicating suggestions or recommendations.,"modal verbs indicating a suggestion or recommendation, particularly ""should"".","the word ""should"" in different contexts."
1,395,mentions of political scandals or extramarital affairs.,words related to scandals or controversial affairs.,references or mentions of scandalous or illicit relationships.,"words related to scandalous or controversial events, particularly involving relationships or misconduct.",words related to romantic relationships or scandalous personal relations.
1,4646,words related to the concept of invisibility.,words related to invisibility or things that cannot be seen.,words or phrases related to invisibility or things that cannot be seen.,words or phrases related to invisibility or things that cannot be seen.,adjectives related to something being not able to be seen or detected.
1,5668,words related to recovery or the need to recover something.,"tokens related to the action of recovering something, whether it is recovering from an injury, recovering lost data, or recovering objects from a certain location.",words related to recovering or regaining something.,words related to the act or process of recovering something.,"words related to the process of recovering or retrieving something, particularly in the context of physical or digital objects."
1,1411,"words related to the concept of ""organization"" or ""ization"".","words ending in ""-ization"" or ""-isation"".","words or phrases related to processes of fragmentation, division, and reorganization, as well as words related to medical procedures or care.","words ending in ""ization"" related to processes, actions, or concepts of fragmentation and re-division.","words or parts of words related to the process or concept of ""ization"" or ""ization"" itself."
1,1796,"mentions of reported information or facts introduced by the word ""according"".","occurrences of the word ""according"" and related phrases.",phrases introducing information from a source or attribution.,phrases or tokens related to providing information from a source or citing someone's words or information.,statements introducing information or data from a specific source.
1,1805,words related to price or pricing.,words or parts of words ending with 'ags'.,"words related to verbal expression and discussion, such as nagging, debating, discussing, and mentioning.","words or tokens related to someone nagging, or possibly negative interactions or contexts.",words related to choking or gagging.
2,360,words related to the concept of a base or foundation.,"words or phrases related to something being derived, relying on or determined by a certain basis or source.",tokens related to data or information being used as a basis for decision-making or analysis.,"words related to references, foundations, or calculations that serve as a basis for something.","words or phrases related to using a foundation, starting point, or reference point for something."
2,4358,words or phrases related to editing or modifying content.,"instances where the word ""edit"" appears, suggesting a focus on editing or modifications.",words or phrases related to editing or modifying something.,"words related to editing, modifying, or making changes to something.",tokens related to editing or modifying content.
2,4448,words ending in 'lled'.,"words ending in ""-lled"".","words or parts of words that end in ""lled"".","words that have the suffix ""-lled"".","words with the pattern ""lled"" within larger words or phrases."
2,618,words related to isolation or being isolated.,words related to isolation or being isolated.,"words related to being alone, separate, or disconnected.",words related to being alone or separated from others.,words related to being separated or cut off from others.
2,1110,mentions of artificial intelligence.,tokens related to artificial entities or constructs.,"adjectives or nouns related to ""artificial"" or ""synthetic"" things or concepts.",words related to artificial things or concepts.,words related to artificial or man-made objects or concepts.
2,2144,adjectives related to adversarial situations or conflicts.,words related to facing or dealing with challenges or problems.,words related to conflict or confrontation.,words related to conflict and confrontation.,words related to confrontation or conflict.
2,2913,"words related to danger, risk, or potential harm.","words related to danger, risk, harm, or death.",words and phrases related to death or fatal events.,"words related to danger, risk, and potential harm.","words related to danger, mortality, and harm."
2,4606,words related to fatigue and weariness.,words related to tiredness or exhaustion.,words related to tiredness or fatigue.,words related to physical and mental exhaustion or tiredness.,"words related to physical and mental exhaustion, such as fatigue and weariness."
2,4938,instructions or descriptions related to firmness or tightness.,"adverbs or adverbial phrases that describe the degree or manner of an action or state, specifically focusing on firmness or tightness.",words or phrases related to firmness or stability.,adverbs related to firmness.,adverbs and phrases related to firmness or tightness.
2,629,phrases or words related to locations or positions in a sequence.,the concept or position of being in the middle or at an intermediate point in a process or distance.,"the word ""halfway"" in various contexts.",tokens related to a midpoint or a halfway point.,words or phrases related to the midpoint or halfway point of something.
2,3292,words or patterns related to specific details or specificity.,words ending in 'ific' or 'ifically'.,"tokens related to specificity or identification, such as specific names, places, or details.",words ending in 'ific' or 'IFIC'.,"words that contain the letter sequence ""ific""."
2,3499,"words related to freedom, such as ""free"", ""freedom"", and ""parked free of charge"".","tokens related to the concept of something being provided at no cost or without payment, such as ""free"" or phrases like ""free of charge"".","the word ""free"" or references to things being provided at no cost.",tokens related to the concept of being free or available without charge.,"references to the concept of something being available without cost, or being provided at no charge."
2,3983,"words related to specific ideologies or isms, such as ""Marxism"" and ""anarchism.""","words or suffixes related to ideologies or philosophical concepts, such as ""-ism"".","words or references related to specific ideologies or belief systems, such as ""Marxism"", ""anarchism"", ""ecumenism"", ""surrealism"", and ""Platonism"".","words or word parts that end in ""ism"", potentially indicating ideologies, movements, or beliefs.","words or tokens related to -ism, particularly ideologies or philosophical concepts."
2,405,words related to the concept of getting rid of something.,words or phrases related to getting rid of something or eliminating.,phrases or words related to the idea of removing or getting rid of something.,phrases or words related to removing or getting rid of something.,phrases or words related to getting rid of something.
2,4319,words related to contributions or involvement in a project or endeavor.,"words related to contributing or contributions in various contexts, such as contributing to a cause, contributing to national life, or being a contributor to a project or website.",words related to contributing or contribution.,tokens related to contributing or making contributions.,tokens related to contributions or contributors.
2,4575,"words that contain the substring ""word"".","words or phrases related to language or text content, such as specific words, keywords, resume content, or spoken-word content.",words that have been partially redacted or words related to editing or modifying content.,words or tokens that are related to language or words themselves.,words related to text or language processing.
2,4734,words related to the concept of viability or potential success.,words related to the concept of viability or feasibility.,adjectives that describe something as capable or able to be done.,adjectives or phrases that indicate something is feasible or realistic.,words related to feasibility or viability.
2,6019,"words and phrases related to reservations, camping, and booking.","words related to reserving or booking spaces, locations, or services.","words related to reservations or bookings, both in terms of camping or accommodation and in terms of appointments or resources.","terms related to bookings, reservations, and ownership or rights associated with them, such as campsites, properties, tribes, lands, and cultural/historic sites.","terms related to booking/reserving spaces or areas, such as campsites, rooms, or other facilities."
2,6350,words related to the flow of water or substances.,"words related to the movement of fluids, including both literal and metaphorical flows.",words related to movement or flow.,"words related to the movement of substances, particularly the flow of water or other fluids.",words related to the movement or direction of fluids or substances.
2,6380,"words and phrases related to condolences, mourning, and death.",words and phrases related to expressions of sympathy or condolences.,words and phrases related to expressions of sympathy or condolences.,"words and phrases related to expressing sympathy, condolences, and mourning.",words and phrases related to expressing sympathy and offering condolences.
3,3943,"adjectives or verbs related to someone's behavior or attitude, specifically the words ""changed,"" ""loose,"" and ""accept.""","words related to being relaxed, accepting, or not tightly bound.",words related to the concept of looseness or lack of tightness in various contexts.,words related to a lack of restraint or control.,adjectives related to flexibility or lack of constraint.
3,5461,"instances where the word ""again"" is mentioned multiple times in a text.",instances of repetition or emphasizing a certain point in the text.,"occurrences of the word ""again"" and phrases related to repetition or recurrence.","instances of the word ""again"" and its variations, often occurring after a pause or a break in continuity.","occurrences of the word ""again""."
3,1287,"instances where something or someone is described as ""outstanding"" or exceptional.","words related to excellence, achievement, and positive performance.",adjectives that describe excellence or exceptional performance.,words related to exceptional or impressive performance or achievement.,words related to exceptional performance or achievements.
3,4997,"mentions of the word ""jar"".","mentions of the word ""jar"" in the text.",mentions of containers or objects that can hold things.,"mentions or references to the word ""jar"".","the word ""jar""."
3,4736,references to DNA and genetic information in the context of crime or scientific analysis.,"occurrences of the term ""DNA"" in the text excerpts.","references to DNA in various contexts, including genetic material, cloning, and crime investigation.",mentions or discussions related to DNA.,"references to DNA in a context related to crime, investigation, or genetic material."
3,5196,"words related to artistic and creative activities, such as painting and drawings.",words related to the act of painting and descriptions of artwork.,"words related to visual art and creativity, particularly focused on painting and descriptions of painted objects or surfaces.","tokens related to visual art, specifically the action of painting or descriptions of paintings.","phrases or words related to art and creative activities, such as painting and picture."
3,3708,"words related to the manifestation or embodiment of something, whether it is political, religious, or in the form of a ruling.","words related to the expression or embodiment of ideas, beliefs, or intentions.","words related to expressing or bringing forth something, or to the physical representation or embodiment of a concept or idea.",words related to the expression or demonstration of ideas or concepts.,"words related to expressing or bringing about something, particularly in a visible or tangible form."
3,4004,"terms related to contracts, agreements, and financial figures.",words or phrases related to contracts or contractual agreements.,words or phrases related to contracts and agreements.,"terms related to contracts, whether it's in the context of legal agreements, sports contracts, or service providers.","references to contracts, agreements, and financial terms."
3,4012,"words related to plates, such as food plates, photographic plates, and breakfast plates.",instances of objects or items related to eating or cooking.,words related to food and dining.,words related to dishes or objects used for food serving.,"words related to dishes, food, and eating."
3,634,words related to insurance coverage and media coverage.,"words related to insurance coverage, benefits, and media coverage.","references to the concept of ""coverage"" or ""news coverage"".",words related to media coverage and insurance coverage.,words or terms related to media coverage and insurance coverage.
3,2595,words related to attempts or actions.,"words related to actions or efforts made to achieve something, particularly in a challenging or difficult situation.",words or phrases related to attempts or tries.,words related to trying or making an effort to do something.,words related to trying or making an effort.
3,3862,words and phrases related to proximity or closeness.,words or phrases related to proximity or closeness.,words related to proximity or closeness.,"words related to proximity, distance, or relative positioning.",references to proximity or distance.
3,3922,"words related to economic and political situations, such as shifts in behavior, cost-push shocks, taxes, and ideological perspectives.","words related to the strength or weakening of something, such as weakening, strengthen, weak, and strong.","words related to the strength or weakness of economic conditions, political perspectives, and social structures.","words related to the concept of strength or weakness, particularly in relation to economic or political contexts.","words related to the strength or weakness of something, such as weakening or strengthening."
3,4148,"phrases related to actions or events happening quickly or abruptly, such as sliding, slipping, and closing.","references to objects or actions related to sliding or movement in a smooth, continuous manner.","words related to movement or transition, such as sliding or slipping.","words related to movement or action involving sliding or slipping, such as physical actions (slides, slips), slides in presentations, and specific objects or actions related to sliding or slipping (slipcovers, slides in a disc, etc.).",words related to movement or objects sliding or slipping.
3,454,words related to refining and adjusting.,"words related to modification, alteration, or adjustment.","words related to modification or adjustment, such as ""refine"" or ""adjusted"".",verbs related to making improvements or changes to something.,words related to modifying or improving something.
3,5694,"information related to permanent items, stamps, and deals.",words related to permanence or long-term duration.,words related to permanence or indefinite duration.,words related to the duration or permanence of something.,words related to permanence or long-term duration.
3,1534,"words related to inequality and social issues, particularly related to racial inequality and education.",words or phrases that indicate a comparison or relative degree.,words or phrases indicating a degree of comparison or relative status.,adverbs that express a comparison or relative degree.,words or phrases that suggest a comparison or relative degree.
3,158,words related to arguments or debates.,words related to arguments and discussions.,words or phrases related to arguments or debates.,words or phrases related to arguments and debates.,instances where an argument or a counterargument is mentioned in the text.
3,217,"words related to writing, storytelling, and news.","contractions, specifically the contraction of ""is"".",contractions where the letter 's is combined with another word.,"contractions, specifically the contraction of ""is"" (e.g., it's) in text.","contractions of words, specifically the form ""it's""."
3,3379,"words related to chemical isotopes, specifically iodine-131 and carbon-14.","words or parts of words that end with ""ope"".","words or parts of words that contain ""ope"".",words ending in 'ope' or containing the letter sequence 'ope'.,"words containing the substring ""ope""."
4,552,words related to visual descriptions and physical attributes of objects.,"words related to surrounding, borders, and support.","words related to borders, surrounding, or enclosing something.","words related to spatial relationships and positioning, such as ""surrounded"", ""border"", ""reverse"", and ""topped"". Additionally, it seems to focus on actions or activities related to support or accompaniment, as seen with ""backing"".","words related to surrounding or being surrounded by something. Occasionally, it also looks for words related to support or backup."
4,1514,adjectives associated with intense or significant events or situations.,words related to intense or significant events or situations.,words related to intensity or significance.,adjectives that describe intense or significant events or situations.,adjectives related to intense or significant events or situations.
4,5543,mentions of statistics or numerical values.,"words or phrases related to statistics, data, or numerical values.",words related to measurements or quantities.,"words related to statistics, numbers, and data analysis.","words related to statistics, numbers, and comparisons."
4,2560,words related to sufficiency and meeting certain requirements.,adjectives and nouns related to the quantity or level of something being sufficient or meeting a certain standard.,adjectives or phrases that describe adequacy or sufficiency.,"words that suggest adequacy, sufficiency, or meeting certain requirements.","words related to adequacy and sufficiency, such as 'adequate', 'sufficient', and 'supply'."
4,4863,"words related to specific names and terms, such as ""Bobby Roode"" and ""Ryan Raburn"".","words related to sports, such as championship titles, teammates, batting stances, and outcomes.","references to specific names or terms related to sports, entertainment, or music.",words related to personal names or surnames.,words related to surnames or last names of individuals.
4,6196,words related to technical aspects of photography such as focus and lenses.,"words related to camera lenses, focusing, and adjustment of brightness in visual scenes.","words and phrases related to focus, such as ""focus,"" ""out of focus,"" ""focusing,"" etc.",words related to the act of focusing or attention on something.,words related to camera lenses and focusing.
4,5633,words related to financial support and opposition.,"words related to support, backing, and endorsement.",words or phrases related to support or backing.,words related to support or endorsement.,words related to support or endorsement.
4,3333,words related to pitching ideas or concepts.,"references to presenting or promoting ideas, concepts, or products, particularly in the context of pitching or marketing.","words related to presenting or promoting ideas, such as 'pitch', 'promote', 'presentation', 'interview', 'challenge', 'guide', 'concept'.","words related to presenting or promoting ideas or concepts, such as ""pitching"" and ""pitch.""",words related to pitching ideas or concepts.
4,3889,"words related to heat, such as temperature, cooking instructions, and basketball team names.",words related to heat or heat-related activities and objects.,words related to heat or high temperature.,"words related to heat, such as ""heat"", ""lined"" (in the context of lining a plate), and ""oil"". Additionally, it seems to activate for mentions of a specific location, ""Miami"".","references or mentions of heat or the specific term ""Heat"" in various contexts."
4,4950,words related to stops or pauses.,"words or phrases related to stopping, pausing, or interruptions.","words related to locations, specifically stops or halts.","words related to stopping, halting, and pausing.",words related to transportation and movement.
4,6002,"words related to the concept of ""everywhere.""","instances or mentions of the word ""everywhere"".","the occurrence of the word ""everywhere"" in text excerpts.",tokens related to widespread presence or occurrences.,mentions or indications of something being present or occurring in many different places or situations.
4,606,words or phrases related to financial debts and loans.,"words related to financial transactions, such as owing, borrowing, debt, settlements, and loans.","words related to financial transactions and obligations, such as owing, debts, borrowing, settlements, loans, and repayments.","words related to financial transactions and obligations, such as owing, borrowing, loans, settlements, and payments.","words related to financial transactions and obligations, such as owing, borrowing, loans, debts, settlements, and payments."
4,626,"words related to growth, expansion, and contraction.","words related to changes in size, extent, or quantity.",words related to increase or decrease in size or quantity.,words related to changes in size or quantity.,"words related to changes in size or quantity, such as ""stretch,"" ""expand,"" and ""shrink."""
4,1670,"words related to geographical boundaries, jurisdictions, and limits.",tokens related to geographical locations and boundaries.,"tokens related to boundaries, locations, and territories.","words related to territorial or spatial boundaries, such as districts, adjacent, authority, jurisdiction, islands, public, bounded, mapped, lines, boundaries, envelop, Waters, appellate, court, bound, and operate.","words related to boundaries, districts, and locations."
4,284,words related to comparisons or distinctions between two or more things.,"the word ""latter"" which indicates a comparison between two things, often with the first thing mentioned being the one closer to the end.",words or phrases that refer to the second of two mentioned options or items.,"the word ""latter"" which refers to the second of two things or options mentioned.",words that indicate a second or later mentioned item or option.
4,313,"words and phrases related to conspiracy theories, occultism, and supernatural elements.","words related to conspiracy theories, occult, and supernatural elements.","terms related to conspiracy theories, occult and supernatural elements.","terms related to conspiracy theories, occult practices, and supernatural entities such as witches and demons.","words related to conspiracy theories, occult practices, and supernatural beings such as witches."
4,4427,"words related to valuable items or assets, such as memories, manuscripts, investments, and cultural heritage.","words associated with value or importance, particularly in the context of personal or cultural significance.","words or phrases related to value, importance, or rarity.","words related to something valuable or highly treasured, such as ""precious"" or ""value"".",words related to value or importance.
4,1700,words or phrases related to nervousness or hesitation.,tokens related to hesitation or nervousness in actions or speech.,words or phrases related to hesitation or nervousness.,words related to hesitation or nervousness in speech or behavior.,words related to hesitation or nervousness in speech or actions.
4,4449,"words related to the front or frontal region of something, such as frontal lobe, front fascia, or front bumper.","words related to the front or anterior aspect of something, such as locations (front, behind), physical features (frontal, fascia), or references to documents or publications (paper, Current).","words related to spatial locations or positions, particularly focusing on the front or forward direction.","words related to spatial location, specifically related to the front or anterior direction.","words related to spatial locations, specifically the concept of ""front"" or ""in front."""
4,4552,"keywords related to electrical engineering and supply information (e.g., power consumption, supply market, manufacturers, data).","words related to the concept of supply, including power supply, data supply, machinery supply, and supply in terms of availability or quantity.","words related to supply, consumption, and cost.",words related to the availability or provision of resources or products.,"words related to the concept of supply, such as power consumption, supply voltage, market supply, and manufacturers supply data."
5,5600,keywords related to current events or news articles.,"words related to time and events, particularly those happening in the morning.","phrases or words related to time or timing, specifically indicating the ""morning"" or ""last weekend"" in the context of events or actions.","words related to time, specifically morning time.","words related to time, specifically the morning."
5,3722,"words related to clothing items or attire, specifically focusing on shirts.","mentions of clothing items, specifically shirts.","words related to clothing, specifically emphasizing T-shirts.","clothing items mentioned in the text that are typically worn on the upper body, such as shirts and hats.","words related to clothing, particularly shirts."
5,3790,words related to physical injuries or disorders.,"words ending in 'atic', which may indicate technical or scientific terms.",words related to geographic locations or terms.,"words with the suffix ""-atic"".","words ending in ""-atic""."
5,1159,"phrases related to violent incidents, locations, and safety requirements.","words related to entry or access points, such as entrances.",words related to entrances or points of entry.,words related to entry or entrance into a place or event.,words related to entrances or points of entry.
5,1038,references to personal actions or instructions related to oneself.,pronouns and words related to self-referential actions or states.,words related to personal actions or choices.,words or phrases related to personal identity or individual actions.,pronouns and words related to personal identity or individual actions.
5,2598,"words related to shooting, damage, and marks or symbols.",words related to markings or labels.,words or phrases related to markings or symbols.,"words related to markings, specifically marks or symbols.","words related to marks, such as punctuation marks and physical marks, like chop marks or bullet marks."
5,2644,"words related to metals, specifically iron and steel.","words or tokens related to various forms of metal, such as iron, steel, nickel, and ingots, as well as terms related to weaponry and gaming components.",words related to various types of metals or materials.,words related to metals and materials used in crafting or construction.,words related to metals and materials used in construction or crafting.
5,2685,"words related to trust or significant choices, such as deciding to trust someone or making important decisions.",words related to trust and personal endorsement.,words related to trust or dependence.,words related to trust and personal or professional names that end with 'ong'.,names or terms related to trust or reliance on someone or something.
5,3256,"words related to pictures or images, particularly those involving people.","words related to visual media, such as images, pictures, and snapshots.","words related to visual media, such as pictures and snapshots.","words related to visual media, especially pictures and snapshots.","words related to images or visual media, such as ""pics"", ""pictures"", ""photos"", and ""snapshot""."
5,337,mentions of military veterans.,words related to military veterans or experienced individuals in a specific field (such as baseball).,keywords related to military veterans.,words related to military veterans or experienced individuals in a particular field.,words related to military veterans.
5,6087,words related to flexibility in work and employment.,"words related to flexibility, adaptability, and variable conditions.","keywords related to flexibility, such as ""flexible"", ""stretch"", ""mobility"", and ""bargaining power"".","terms related to adaptability or flexibility, including flexible working arrangements and flexible forms of work, as well as terms related to negotiations or bargaining.",words related to flexibility and adaptability.
5,618,adverbs related to cause and effect.,adverbs that indicate a consequence or result.,phrases or words indicating a cause-and-effect relationship or emphasizing a conclusion.,"words or phrases that indicate a result, consequence, or conclusion.",adverbs that indicate a conclusion or result.
5,752,"words related to focus, attention, and concentration.","terms related to focusing, attention, and concentration.","verbs or phrases related to focusing, paying attention, and concentration.",verbs or phrases related to focus and attention.,"words related to focus, attention, and concentration."
5,2256,words related to specific locations or places.,"mentions of specific locations, specifically places with the word ""Springs"" in their name.",words related to specific locations or cities.,"proper nouns or specific locations, specifically places with the word ""Springs"" in their name.",proper nouns related to geographical locations or places.
5,619,words related to public opinion polls.,words related to surveys or polls.,"instances where the word ""poll"" is mentioned in the text.",mentions or references to surveys or public opinion polls.,mentions or references to polls or survey results.
5,2627,words related to clutter and disruption.,"words related to disorder, disruption, and unwanted accumulation.","words related to disorder, disruption, and clutter.","words or phrases related to disorder, disruption, and clutter.","words and phrases related to messiness, disorder, and disruption."
5,3061,words related to confidence or certainty.,words related to self-assurance or belief in oneself.,words or phrases related to confidence or feeling secure.,words related to self-assurance and belief in oneself.,words related to self-assurance or belief in oneself.
5,4173,words related to contracts and financial agreements.,"occurrences of the word ""contract"" in various contexts and discussions, potentially related to legal agreements, financial arrangements, and professional relationships.","the word ""contract"" or phrases related to contracts and financial agreements.","references to legal or binding agreements, specifically contracts.","words related to legal agreements or documents, specifically contracts."
5,6117,"mentions of political and governmental entities, such as courts, presidents, governors, and headquarters.",words related to organizational or corporate buildings.,"words related to locations or places, specifically headquarters or central locations.","locations or places, specifically referring to headquarters.","mentions of building locations or offices, specifically ""headquarters""."
5,1758,words related to spelling and discussing specific words or terms.,instances where words are being spelled.,words related to spelling.,words related to spelling or written communication.,"words related to spelling and words like ""spell"" or ""spells""."
6,6293,words related to criticism or challenging others' beliefs or actions.,"words related to questioning, questioning authority, or challenging ideas or beliefs.",words or phrases related to questioning or challenging something.,"words related to questioning or opposing ideas, arguments, or beliefs.",words related to questioning or opposing statements or beliefs.
6,1382,words related to scripts or screenplays.,references to scripts in the context of movies or television shows.,"references to written works, such as scripts or screenplay-related words.","tokens related to scripts or written content, suggesting a focus on the written aspect of films or storytelling.",mentions or references to movie scripts.
6,5949,mentions of personal decisions or actions.,words related to making decisions or choices.,instances where someone makes a decision or choice.,indications of decision-making and personal choices.,words related to decision-making or taking action.
6,759,"words related to economic growth and development, particularly in terms of investments and property market.",words related to economic growth or increase in activity.,words related to economic growth or prosperity.,"words related to economic growth or expansion, such as investment, property, and boom. In particular, it seems to focus on the positive aspects of these economic phenomena.",words related to economic growth and development.
