layer,neuron,score,explanation
4,939,0.553385287, numerical values or sequences of numbers.
4,275,0.368933053,"words related to locations, dates, and organization names."
4,1326,0.385120477," words relating to history, old things, and preservation."
4,50,0.678235042,"terms related to computers, technology, and artificial intelligence."
4,762,0.452387948, dates and months.
4,653,0.56268289,"words related to furniture, particularly desks and seating."
4,515,0.737317225, instances of the word 'bin'.
4,1571,0.71598563," words and phrases related to images or visual content, particularly screenshots."
4,1727,0.564280808,"sports-related terms, particularly cricket-specific terms and actions."
4,1445,0.513164732,words related to brain anatomy and functions.
4,1806,0.366461264,words related to sex and sexuality.
4,1094,0.429243717, words describing sensory experiences and specific product features.
4,930,0.363228693, words related to migration and people groups.
4,1744,0.461225247, technical terms related to music or audio equipment.
5,1594,0.686414269, names or parts of names with the 'ik' ending.
5,14,0.592220658," short words or phrases related to different genres or types of content, particularly those containing ""fi""."
5,1529,0.69171831,"the word ""The"" at the beginning of a sentence or line."
5,225,0.475637303," instances of the word ""Below"" following section breaks or advertisements."
5,541,0.63957895,"words related to textures, specifically ending in 'amy'."
5,158,0.77416396, political party abbreviations and related terms.
5,1452,0.444568334, words and phrases related to chemicals and chemical substances.
5,794,0.706756441,words related to the process of modifying or altering content.
5,1188,0.455480192,parts of words with the 'aph' letter combination.
5,619,0.899806501,"words related to surveying, polling, and measuring opinions."
5,1946,0.729512479, words related to digging or excavation.
5,929,0.701043592,words related to wings or wing-like structures.
5,1765,0.75232974," legal terms, specifically related to crime and prosecution."
5,1218,0.505707458," words and phrases related to resources, nutrients, and sustainability."
5,897,0.412191642,"the word ""Dam"" or its variations in different contexts."
5,729,0.440782688," names and words containing the syllable ""ash""."
5,181,0.373715647,words related to actions that indicate progression or continuation.
5,1384,0.377577607, partial words or word fragments.
5,1837,0.510395838, units of measurements and related technical terms.
5,1806,0.72527295, words related to consistency and stability.
6,1319,0.76089928, phrases related to proximity or being close to something.
6,870,0.778146953,words related to visibility.
6,658,0.843239446, the word 'host' and words that relate to hosting.
6,1401,0.46511857, timestamps and indicators associated with date and time.
6,481,0.58287077, occurrences of the word 'god'.
6,1770,0.637079896,"instances of the word ""counter"" and related variations."
6,66,0.409278114, names or parts of names.
6,226,0.369276202, words related to transportation and travel.
6,1912,0.690283393,mentions of WordPress products and lip products.
6,844,0.442394996,locations and place names.
6,270,0.463921192," words and phrases related to witnessing, observation, and testimony."
6,1271,0.582196566," financial and legal terms related to trusts, accounts, and assets."
6,72,0.626724013, words indicating something large or exceptional in size or intensity.
6,1333,0.769954752, last names of people.
6,74,0.499326833,"words with common root endings like 'ack', 'production', 'allocated', and 'proclaimed'."
6,1365,0.516468927, words related to various materials and textures.
6,1850,0.578085928, adverbs describing the timing or speed of an event.
6,1047,0.393604746, word fragments containing 'id' or 'u'.
6,232,0.357022344," abbreviations, acronyms, and alphanumeric sequences."
6,765,0.407507761,words related to stability and instability.
7,1451,0.363523356,occurrences of two or more letters repeated as part of a larger word or abbreviation.
7,1725,0.481429445,words with a double 'g' sequence.
7,1340,0.673222228, words related to occupations and work tasks.
7,1212,0.609461318,the word 'root' and related concepts.
7,905,0.440263007,names of communication devices and institutions.
7,652,0.426004974,words related to positions of authority and detection technology.
7,76,0.45682278,words related to possession or ownership.
7,1981,0.401195213, words with the letter combination 'que' or 'ire' in them.
7,1925,0.422036197, words and phrases containing specific combinations of letters with a focus on 'ond' and 'aud'.
7,1233,0.396052034,words ending in 'ch' or 't'.
7,698,0.563152844, words related to chemicals and their properties.
7,834,0.49823681," specific words related to creating or applying designs, especially on surfaces or materials."
7,1054,0.472459033, words related to problems and issues.
7,502,0.410809384, words related to components or parts of various systems.
7,191,0.487412049, words related to objects or materials tightly wrapped or bound together.
7,1601,0.38154294,sequences of laughter or repetitive letter patterns.
7,539,0.528201974,"words and phrases related to instructions or directions, particularly focusing on the word ""below""."
7,1112,0.354029448,technical terms and acronyms related to programming and technology.
7,301,0.511643319,"words and phrases related to food ingredients, measurements, and cooking."
7,1708,0.606699789, letter combinations 'aj' in words.
8,385,0.50054468, words related to mailing and communication methods.
8,1574,0.355558975,"specific objects, items or locations mentioned in the text."
8,1639,0.659130275,mentions of cookies and related privacy terms.
8,1741,0.448256661, words related to storing or saving items or information.
8,86,0.457950378," words related to achievements, worth, or value."
8,1154,0.371564436,"prefixes or parts of compound words related to technical, scientific, or specialized terms."
8,671,0.402808567,"parts of words or syllables containing the letter combinations 'sk', 'erk', 'oss', 'oros', and 'uc'."
8,630,0.518853175, words related to connections and relationships.
8,307,0.645214361,words and abbreviations related to finance and institutions.
8,1495,0.400691768,words related to technology or darkness.
8,548,0.481944532,letter combinations consisting of 'ork'.
8,1878,0.404264531, words related to containers or enclosed spaces.
8,284,0.354890548, words related to chemical and biological processes.
8,230,0.500386364,adjectives describing importance or prominence.
8,708,0.401289785, verbs related to releasing or providing something.
8,401,0.708155598, words related to habits and trends.
8,745,0.544972233,"the word ""Read"" followed by numeric values."
8,570,0.501404772, words related to time duration.
8,498,0.367063565,adjectives modifying nouns and describing small quantities or gradations.
8,1627,0.419666385," words related to rewards, bonuses, and incentives."
9,1781,0.699971457, verb phrases using 'to' followed by 'be'.
9,656,0.551778242,"instances related to time and periods, especially modern-day or present-time phrases."
9,529,0.558568874, technology or media-related terminology.
9,1657,0.413600753, phrases related to progression or moving in a certain direction.
9,88,0.476600592," phrases used to introduce examples or contrasting ideas, often following a comma."
9,1375,0.415977756, negative phrases and words indicating uncertainty or doubt.
9,1053,0.355780098, time and location indicators in context.
9,117,0.788455481,"instances of the word ""idea"" and related phrases emphasizing its positive or negative context."
9,1658,0.473457441, nouns and phrases related to locations or places.
9,1249,0.424988887,words or phrases related to different sectors or industries.
9,842,0.412239568," words related to materials, substances, and their properties."
9,1744,0.374439291,words related to groups or organizations.
9,535,0.605810605,"names of electronic devices, gaming consoles, and networks."
9,387,0.398660463,words related to magic and magical abilities.
9,1318,0.559109325," words related to branding, marketing, and storytelling."
9,1327,0.447370311," geographic locations, specifically city names."
9,1947,0.566332994," sequences with the word ""first"" and related verbs."
9,756,0.408258117, phrases related to relatively small or temporary durations.
9,266,0.578114851,"words related to research, support, and management."
9,1020,0.467130784, words or phrases related to legal or moral responsibility.
10,1838,0.676885575, phrases describing positions or situations involving oneself.
10,99,0.438892386, words related to alternatives or contrasts.
10,1900,0.373095913, words and phrases related to groups or pairs.
10,1785,0.549306272, words related to documents and publications.
10,1329,0.385663284,"contrasting statements, often represented by ""not so"" or a change in expected conditions."
10,1465,0.677602398, words related to compatibility and fitting in.
10,1690,0.675442917,"words related to inventory, availability, or stock."
10,423,0.522860957, words related to animals and their body parts.
10,338,0.560596235, words related to home and problems.
10,829,0.489076712,words or phrases related to opposition or contradiction.
10,567,0.877287182,words related to effectiveness or efficiency.
10,1045,0.511298562, instances of small numbers or minimal quantities.
10,94,0.73276557, words related to outcomes or consequences.
10,364,0.40923567, words related to financial transactions and commissions.
10,730,0.747131442," instances of the word ""code"" and related phrases containing it."
10,216,0.392659616,words and phrases related to uncertainty or lack of information.
10,1129,0.408469134, prepositions related to movement or direction.
10,574,0.407867403, verbs and phrases related to the emergence or existence of a situation or condition.
10,69,0.400145206,word endings that modify the meaning of root words.
10,400,0.56897112,nouns and action verbs related to written communication and signage.
11,703,0.53247438, words related to body parts and parts of words.
11,1319,0.535303133, words related to news and information.
11,456,0.624111275, words associated with identification or differentiation.
11,1437,0.443314026, parts of words with 'r' followed by a consonant.
11,1520,0.4131028, compound words and partial word forms.
11,1414,0.445600694, the word 'cell' along with its surrounding context.
11,714,0.473235267,words or phrases related to automatic or involuntary actions.
11,1141,0.502434331, instances of section formatting and editing indicators in a document.
11,77,0.425193039, verbs that indicate responsibility or intention.
11,1722,0.613743968, words related to dependency and conditional situations.
11,370,0.469764914,"components of structured content, such as headings and format indicators."
11,1727,0.743422597," phrases containing the word ""said"" or ""that""."
11,1365,0.423768379," the word ""that"" and other transition words or connectors."
11,741,0.372881823,words and phrases related to news sources and reporting.
11,1880,0.713001156,verbs related to surpassing or exceeding something.
11,1011,0.573368155, words related to different types of editions or issues.
11,1228,0.609320167,"words related to charts, graphs, and visual representations."
11,782,0.4621044, possessive pronouns and contractions.
11,1295,0.610265264," ""of"" and ""a"" combinations, as well as ""an"" in a sentence."
11,1201,0.483074265, phrases related to announcing or launching something new.
12,349,0.512505057,words and phrases implying disarray or complexity.
12,1464,0.350761875, words and phrases related to expert opinions and predictions.
12,362,0.566661875,"copyright and legal terms, as well as words related to document verification."
12,317,0.350468131,specific roles or characteristics of a person or object.
12,426,0.53883594, geographic locations and proper nouns related to places.
12,1418,0.406782455," numbers and related symbols, specifically focusing on scores and numerical comparisons."
12,1420,0.541820622, words related to sequence or organization.
12,1702,0.44250473,words containing 'ang'.
12,945,0.752863384," instances of ellipsis, typically representing a pause or an omission."
12,304,0.396199384, words related to estimation and making statements.
12,1359,0.696668012, past tense verbs ending in 'ed'.
12,585,0.686272727,words related to professions and occupations.
12,205,0.477263697, word parts related to explanations or justifications.
12,1848,0.424172291,instances of the word 'something' and its variants.
12,1793,0.380732175, words and phrases related to books and information technology.
12,673,0.351959,phrases related to cooking and preparation processes.
12,1947,0.420408823, words associated with milestones or significant events.
12,141,0.507618509, words and phrases related to distance or length measurements.
12,1124,0.769535542,"partial word fragments, particularly focusing on the letters 'ana' and 'mor'."
12,1369,0.364873556," words and phrases related to data collection, statistics, and survey processes."
13,1736,0.664418081,connecting words and phrases indicating alternatives or choices.
13,749,0.379100461, parts of words related to chemical substances.
13,269,0.354540456, words and phrases related to pairs or groups of people or animals.
13,854,0.655602013, female names and associated pronouns.
13,1306,0.460791261,directional words and phrases.
13,243,0.51553296, words related to ongoing or continuous actions.
13,1105,0.358974272, action words that involve communication and naming.
13,814,0.651997317, expressions of knowledge or awareness.
13,1572,0.452557627, casual expressions of excitement or approval.
13,442,0.4902058, last names or surnames of people.
13,1284,0.502997284,company names and their related terms.
13,235,0.410253414,words related to competition and comparison.
13,685,0.353923113," text or symbols related to whitespace, as well as occasional numerical values."
13,360,0.773847293," words and phrases related to movement, traffic, or flow."
13,336,0.46484344,words related to branding and marketing.
13,275,0.380864138,positive and descriptive adjectives related to the quality of products or services.
13,346,0.670660045," words expressing an unexpected or surprising situation, often with the word ""enough"" attached."
13,416,0.402265212,commands and technical terms related to software development and programming.
13,1380,0.446851822, words related to transactions and exchanges.
13,802,0.549114007, words with the letters 'com'.
14,343,0.353795266, phrases related to attending an event or being present at a location.
14,33,0.395632282,"words and phrases related to objects, purchases, or possessions."
14,1936,0.421048363," names of people, places, or specific terms."
14,1438,0.390603209, phrases related to following and fulfilling expectations or instructions.
14,52,0.457374918," words related to confusion, deception, and uncertainty."
14,1368,0.781870234," instances of the word ""you"" and its possessive form ""your""."
14,1350,0.676023633," dates, numbers related to dates, and day names."
14,1657,0.412220657, words related to nouns in plural form or words related to connections and relationships.
14,1645,0.394400929, comparison phrases and words indicating a similarity.
14,1443,0.410997469, words and punctuation related to connecting ideas or making exceptions.
14,810,0.432011895, verbs related to trying or testing something.
14,495,0.577058511, last names of people.
14,1853,0.420373989,phrases related to communication or conversation.
14,142,0.724041091,"mentions of proximity, specifically the word ""near""."
14,379,0.659139811,word pairs with contrasting meanings or opposites.
14,284,0.496138803,words related to markets and finance.
14,1775,0.366974716, ordinal numbers and comparative phrases.
14,1124,0.39394168, prepositions denoting physical or emotional closeness.
14,238,0.406914352," words related to compliance or adherence, often in a verb form."
14,1360,0.409208608,actions and movements in sports-related contexts.
15,1903,0.369729542,"action verbs related to appointing, recruiting, and hiring people."
15,268,0.475766846,participles or gerunds related to various actions or processes.
15,1184,0.390037233, time-related expressions and durations.
15,248,0.375050191,instances of code and variables.
15,676,0.477303313, abbreviations or acronyms in the text.
15,1870,0.358613786, words and phrases indicating increased activity or attention.
15,1030,0.38044183,actions or situations related to escaping or fleeing.
15,453,0.400761457, possessive and personal pronouns.
15,1382,0.385145721,abbreviations and shorthand expressions.
15,1258,0.366822107,words with 'r' and occasionally 'ro' in them.
15,872,0.380032451,block numbers and locations.
15,61,0.645414073, words related to positions or directions.
15,329,0.419605242, geographic locations and related words.
15,880,0.518502392, body parts or body-related expressions.
15,144,0.493574618, words and phrases related to rural and folk themes.
15,1853,0.365588781, words and phrases related to genetics and reproduction.
15,968,0.383896686," temporally related words, such as days of the week and time indications."
15,478,0.465545943, numerical values and scores associated with sports events.
15,1264,0.417291448, instances of past events or activities.
15,312,0.46093849," prepositions and words or phrases related to providing an example, comparison, or reference."
16,1466,0.502148229,words and phrases related to depth or intensity.
16,333,0.473201263, words related to artistic details and antique elements.
16,1587,0.412729368,adjectives and adverbs related to the extent or degree of an action or quality.
16,497,0.399074391," words related to relationships, personal attributes, and individual activities."
16,1691,0.636515312," words related to carrying or handling, especially in terms of weapons or objects."
16,377,0.400962871,"verbs related to selecting, mixing, and combining items or elements."
16,1928,0.430109034, words related to definitions or explanations.
16,191,0.426733138, words and phrases related to discovery or disclosure of information.
16,1893,0.550092919, the word 'and' along with words connected to it.
16,1822,0.707379292, words and phrases related to supervision and management.
16,1428,0.472852152," educational terms, such as degrees, institutions, and career-related experiences."
16,1826,0.391456914, news-related terms and reporting phrases.
16,1455,0.696510704," phrases related to being ""outside"" or ""out of"" something."
16,1099,0.512412936, words related to competitive activities and games.
16,1745,0.453229211,"words related to work, jobs, and economic activity."
16,1103,0.417020777, scientific terms and methods related to data analysis and measurement.
16,971,0.43322214,unexpected situations or unclear conditions.
16,1713,0.390853438,words related to overcoming obstacles or challenges.
16,132,0.433585898,words related to food and consumable items.
16,39,0.392424142, numbers and numerical values.
17,266,0.429850535, words and phrases related to social and environmental issues.
17,1474,0.438724305,card-related categorical values and attributes in text.
17,612,0.574173362, words related to intention and planning.
17,623,0.524542279, expressions indicating possession or belonging.
17,1166,0.357213076," specific singular or plural nouns, often associated with tangible items or substances."
17,746,0.392565092, words and phrases related to job roles and responsibilities.
17,1451,0.689353594," country codes, particularly for the United States and the United Kingdom."
17,571,0.40267029, repeated fragments of words or compound words with common elements.
17,220,0.380703467," phrases that indicate actions or events using ""of"" or ""acts"" in the context."
17,30,0.839804023,truth and reality-related words and phrases.
17,1015,0.371264745," words and phrases related to change, progress, and development."
17,1808,0.507437649, verbs and phrases related to communication and speech.
17,76,0.389088209,"words or word parts containing the letters ""op""."
17,1324,0.398716405, expressions related to desire and availability.
17,78,0.390657477," noun-phrases related to specific titles, concepts, or conditions."
17,1821,0.430213283," numerical values, especially years and ranked items."
17,118,0.562334211," instances of the word ""his"" and words possibly related to face expressions."
17,1418,0.457861789,words and phrases related to variations and combinations.
17,174,0.353075734, words related to locations and movement within or through those locations.
17,1368,0.398116272," numbers and characters related to measurements, ratings, and combinations."
18,450,0.358478815,abbreviations and partial words related to names or locations.
18,318,0.384446039," words and phrases related to caution, patience, and taking things slowly."
18,1275,0.383032317, phrases indicating causation or reasons.
18,521,0.704818255,words related to top and bottom positions or parts of objects.
18,1267,0.414979482," words related to hobbies, interests, and specialized skills."
18,1879,0.699851734, references to Scotland and Scottish people.
18,1832,0.438515062, instances of advertisements and related content.
18,1303,0.429308739, job titles and related occupations.
18,468,0.48670682, words and phrases related to obligations and responsibilities.
18,655,0.423059589,phrases related to self-sacrifice and giving.
18,365,0.370465855,"near-synonyms for effort or trying, as well as nearness adverbs."
18,968,0.396091158, compound words related to objects or properties with hyphens or numbers.
18,1893,0.358697298,words and phrases associated with hearing or communication.
18,1937,0.359874773, phrases related to visual imagery and captured moments.
18,1582,0.658285211, animal and insect-related terms.
18,482,0.376289913,"words and phrases related to rules, regulations, and legal issues."
18,1566,0.360901673," terms related to game abilities, powers, and casting."
18,417,0.57618982," words related to locations, particularly establishments or places."
18,497,0.692609665," words or components of words related to summaries, brief information, or descriptions."
18,157,0.467189432,"the preposition ""by"" and its variations in context."
19,924,0.438112421, action verbs related to physical and rescue activities.
19,1010,0.353993277, phrases related to events not happening again or lasting effects.
19,1672,0.526416418, phrases indicating upcoming events or time.
19,623,0.4948453," words and phrases related to interactions, such as clicking, viewing, or searching."
19,1631,0.498339645,colons accompanied by phrases that indicate examples or explanations.
19,1196,0.397952714," words and phrases related to licenses, permissions, or regulations."
19,1323,0.430267446, words and phrases related to materials or components.
19,1992,0.394090581,chemical elements or compounds and their properties or interactions.
19,1114,0.604054337," legal terms, particularly those related to filing lawsuits and complaints."
19,1181,0.452009136, words or word parts in plural form or with pluralizing suffixes.
19,453,0.437639664, nouns related to objects or items.
19,2,0.370481528, words related to numbers and counting.
19,765,0.729626343, adjectives describing an optimal or best-case situation.
19,440,0.457160484,words and phrases related to water and marine environments.
19,1725,0.378041988, auxiliary verbs and phrases related to possibility and interest.
19,1357,0.412328458, compound words or words connected with hyphens.
19,855,0.408800589, phrases related to time duration or periods.
19,1377,0.42481566,"comparisons and analogies, often using the word ""like""."
19,967,0.373694607,"words and phrases related to political and voting processes, and descriptive phrases for locations and scenes."
19,1946,0.619483151, scientific names of animals or organisms.
20,193,0.455764167,verbs indicating questioning or challenging behavior.
20,673,0.381587429," words related to claims, denials, and assertions."
20,559,0.685253494," words related to stopping, preventing, or opposing something."
20,1274,0.706796293, words and phrases related to water bodies and presence of water.
20,426,0.647333846, negation (negative terms or phrases).
20,477,0.899358159," occurrences of the word ""must"" and related words indicating necessity."
20,1678,0.795030178,"the phrase ""in turn"" and related word combinations."
20,1695,0.47292365, nouns related to creative professions and activities.
20,1999,0.606651004, words and phrases related to time and history.
20,1490,0.551829016, version numbers and related terms.
20,1026,0.539296042,the word 'and' and its connection with other closely related words in context.
20,1179,0.478331024, technical terms and data-related words.
20,1278,0.531468323, specific nouns or terms related to niche interests or topics.
20,908,0.395060103," word patterns indicating associations, comparisons, or relationships between different elements or objects."
20,439,0.363997903," words and phrases related to proving something, disproving a misconception, or forcing a change in perspective."
20,772,0.506243467, references to seasons or episodes of a series or occurrence.
20,286,0.631376424, days of the week and time-related words.
20,1009,0.465728233, words and phrases related to legal actions and charges.
20,982,0.387017893,instances of contrast or contradiction.
20,895,0.498674527,verbs and phrases related to missing or delaying events/actions.
21,582,0.652087777, words related to electronic devices and their components.
21,194,0.492097565,the word 'and' along with its closely associated words.
21,948,0.45348884, phrases related to following rules or instructions.
21,208,0.363415189,"descriptions of physical states and positions of people or objects, often involving harm or distress."
21,958,0.6299082,words related to accessibility and availability.
21,29,0.631380007,"verbs and nouns related to recording, logging, and sharing information."
21,1,0.426297014," instances of the letter ""a"" and its occurrence within words and phrases."
21,1287,0.683810073,phrases related to having something already or a sense of existing possession.
21,1693,0.363944128," various activities or games with elements of collaboration, competition, or scoring."
21,445,0.363030711, action verbs and task-related words focused on moving and progressing through a story or journey.
21,1043,0.356313519, sequences of numbers and dates.
21,1857,0.486360413, possessive pronouns related to people.
21,1211,0.413228665,verbs related to managing or handling tasks or resources.
21,1167,0.435134545, food-related words and ingredients.
21,1095,0.501209257," instances of the verb ""has"" and related possessive pronouns like ""his."""
21,1619,0.420831031, instances of the letter 'b' in various contexts.
21,939,0.518340478," the use of the word ""used"" and words containing ""k""."
21,1579,0.495159873,verbs and phrases related to desires or aspirations.
21,1158,0.486708661,"word parts with double letters, specifically 'mm' and 'gg'."
21,1442,0.536253321,"sequences of numbers and letters indicating codes, identifiers or measurements."
22,782,0.40068235,words and phrases related to appeals for assistance or support.
22,983,0.494821572,words and phrases related to physical injuries or damage.
22,870,0.697141968, words and phrases related to carrying or moving objects.
22,491,0.377551523,"words or phrases related to proper names, titles, and etymology."
22,814,0.36732436," parts of words or phrases related to assembling, packaging or modifications."
22,278,0.595217241, the word 'when' and words related to countries.
22,282,0.80417737, words related to body parts.
22,1521,0.350466931," words or phrases related to authority, governance, or religious concepts."
22,179,0.641454148, city and geographic location names.
22,1878,0.629712252," phrases related to taking a break, resting or recharging."
22,1668,0.41676145,verbs related to the removal or elimination of an object or a condition.
22,924,0.455918666, parts of names or surnames.
22,71,0.647404759,the word 'right' and phrases containing 'right'.
22,856,0.376514412, words and phrases related to expectations and meeting or exceeding them.
22,170,0.448995981," words with capitalization, especially all-caps words."
22,468,0.62733918,repeated consecutive words or word combinations.
22,1241,0.454074988," words and symbols related to mentioning authors, contributors, or media elements such as captions."
22,728,0.561498309, numerical values related to money and goals.
22,1758,0.610140111, the word 'or' and related forms.
22,203,0.359568891," legal terms and concepts related to charges, guilt, and accusations."
23,1561,0.397408826, phrases indicating the passage of time or time gaps.
23,378,0.372889185,prepositions followed by verbs or verbs in infinitive form.
23,464,0.616686226, actions related to writing and communication through electronic devices.
23,37,0.351014724, verbs related to learning or practicing actions.
23,1126,0.53652585," expressions related to goals, objectives, and purposes."
23,104,0.403232979,words related to recognition or acceptance.
23,701,0.62038333, words and phrases related to anxiety and emotional distress.
23,1792,0.649670771, gerunds or present participle verbs ending in 'ing'.
23,492,0.503749932,words and phrases related to financial and account management.
23,1068,0.400188768," possessive pronouns, specifically ""his"" and ""their""."
23,812,0.736527488,words and phrases related to exclusivity or making exceptions.
23,189,0.413644027,expressions of gratitude and appreciation.
23,921,0.722558782,words related to various forms of energy and fuels.
23,938,0.596868722, nouns related to significant events and ceremonies.
23,1840,0.488456243,words related to growth and development.
23,1817,0.474850339,names of people and gene-editing technology terms.
23,1365,0.458572681,adjectives with a strong emotional tone or intensity.
23,1672,0.598002157, words and phrases associated with immediacy or the present moment.
23,322,0.362336703,words related to secrecy and privacy.
23,858,0.401701895,"spatial or positional phrases related to being side by side, next to, or in close proximity."
24,23,0.793027039," instances of communication or contact, particularly with phone calls."
24,287,0.577649207," words and phrases related to connections, relationships, or involvement."
24,1454,0.389108881, adverb modifiers and punctuation associated with those modifiers.
24,588,0.433078251, numerical values and their related units of measurement.
24,978,0.355810919,words and phrases related to education and schools.
24,228,0.450584141," words and phrases related to saving, including numerical values."
24,130,0.715223531, phrases containing 'there' followed by a verb or an auxiliary verb.
24,1471,0.430807587,"directional words, especially those indicating a target or goal."
24,623,0.672513029,short and flat-related words or objects.
24,1030,0.421551469," phrases containing the word ""which"" and the accompanying modifying expressions."
24,874,0.635602869," instances of the word ""have"" and related contractions."
24,1799,0.423097614," words describing something as unjust or illegal, including adverbs ending in 'ly'."
24,98,0.467675748, occurrences of the letter 'J' and related combinations in various words.
24,445,0.441226007, descriptions of locations with viewpoints or scenery.
24,1987,0.39729516, words and phrases related to positive descriptions and evaluations.
24,1883,0.579571327, acronyms or abbreviation combinations.
24,1663,0.40954142, phrases indicating uncertainty or doubt.
24,345,0.421790949, words related to the process of modifying or cutting something.
24,1947,0.704511663, words and phrases related to growth and development.
24,746,0.504402632,words and phrases related to individuality and being alone.
25,1060,0.509031902,verbs and phrases related to transformations or changes.
25,1166,0.400171643,verbs related to gathering or collecting information or items.
25,784,0.449283863,comparative phrases with 'as' being used to emphasize similarity or degree.
25,810,0.491134769, nouns related to fixed places or positions.
25,231,0.353683483, time representations and numbers related to time.
25,1490,0.607050643,"words related to urban areas and activity, as well as words containing ""k""."
25,794,0.357796109," partial words and word fragments, focusing on consonant clusters."
25,1732,0.423219678, words and phrases related to re-creation or versions of something.
25,746,0.44508749,"words related to surfaces, particularly ground or land."
